种,type; breed; race; seed,zhǒng,[sound:种.mp3]
终于,at last; in the end; finally,zhōng yú,[sound:终于.mp3]
拿,carry in your hand; seize; to catch,ná,[sound:拿.mp3]
突然,sudden; abrupt,tū rán,[sound:突然.mp3]
向,direction; towards; to turn; to face,xiàng,[sound:向.mp3]
短,"short (in length, duration, or height); lack",duǎn,[sound:短.mp3]
离开,leave; depart,lí kāi,[sound:离开.mp3]
欢迎,to welcome; greet,huān yíng,[sound:欢迎.mp3]
楼,story; floor; (multi-story) building (noun),lóu,[sound:楼.mp3]
极,an extreme; pole; very,jí,[sound:极.mp3]
矮,short; low,ǎi,[sound:矮.mp3]
方便,convenient,fāng biàn,[sound:方便.mp3]
动物,animal,dòng wù,[sound:动物.mp3]
借,lend; borrow; excuse,jiè,[sound:借.mp3]
变化,change,biàn huà,[sound:变化.mp3]
打算,to intend/intend&nbsp;,dǎ suàn,[sound:打算.mp3]
季节,season; time; period,jì jié,[sound:季节.mp3]
冰箱,refrigerator,bīng xiāng,[sound:冰箱.mp3]
搬,to move; to transport,bān,[sound:搬.mp3]
客人,guest; customer,kè rén,[sound:客人.mp3]
打扫,to clean; to sweep,dǎ sǎo,[sound:打扫.mp3]
盘子,plate; dish; tray,pán zi,[sound:盘子.mp3]
黄河,The Yellow River,huáng hé,[sound:黄河.mp3]
刮风,windy; to blow (wind),guā fēng,[sound:刮风.mp3]
而,on the other hand/and/but/yet,ér,[sound:而.mp3]
却,but; yet; however,què,[sound:却.mp3]
永远,forever; eternal; always,yǒng yuǎn,[sound:永远.mp3]
内,inside; inner; internal; within,nèi,[sound:内.mp3]
成为,To become; turn into,chéng wéi,[sound:成为.mp3]
场,"courtyard; place; field; (mw for games, performances, storm ect)",chǎng,[sound:场.mp3]
价格,price,jià gé,[sound:价格.mp3]
敢,to dare,gǎn,[sound:敢.mp3]
香,fragrant; savory,xiāng,[sound:香.mp3]
坚持,persist in; persevere,jiān chí,[sound:坚持.mp3]
光,light; ray; bright; only; merely; used up,guāng,[sound:光.mp3]
肯定,undoubtedly/definitely/It's must be that...,Kěn dìng,[sound:肯定.mp3]
深,deep; profound; dark (of colors),shēn,[sound:深.mp3]
醒,wake up/sober up/regain consciousness,xǐng,[sound:醒.mp3]
低,low; to lower (one's head); droop,dī,[sound:低.mp3]
进行,carry on; carry out; undertake,jìn xíng,[sound:进行.mp3]
是否,whether (or not)/if (formal 是不是）,shì fǒu,[sound:是否.mp3]
回忆,to recall/recollect/memories,huí yì,[sound:回忆.mp3]
本来,originally; at first,běn lái,[sound:本来.mp3]
乱,messy/disorderly,luàn,[sound:乱.mp3]
破,broken; damaged; to split,pò,[sound:破.mp3]
取,take off accessory (with 下 polite)/to take/get/choose,qǔ,[sound:取.mp3]
实在,honestly/truly/really,shí zài,[sound:实在.mp3]
左右,about; approximate; around,zuǒ yòu,[sound:左右.mp3]
记者,reporter; journalist,jì zhě,[sound:记者.mp3]
云,cloud/(say; speak),yún,[sound:云.mp3]
计划,plan; project (a calculated plan),jì huà,[sound:计划.mp3]
超过,surpass; exceed; outstrip,chāo guò,[sound:超过.mp3]
厚,thick (for flat things); generous,hòu,[sound:厚.mp3]
理想,aspiration/ideal,lǐ xiǎng,[sound:理想.mp3]
十分,very; fully; 100%,shí fēn,[sound:十分.mp3]
质量,quality; mass (physics),zhì liàng,[sound:质量.mp3]
差不多,almost; about the same,chà bu duō,[sound:差不多.mp3]
警察,police,jǐng chá,[sound:警察.mp3]
桥,bridge,qiáo,[sound:桥.mp3]
聚会,hold a meeting; get together; a party,jù huì,[sound:聚会.mp3]
危险,danger; dangerous; perilous,wēi xiǎn,[sound:危险.mp3]
仍然,still; yet (formal),réng rán,[sound:仍然.mp3]
脱,to take off clothes/to escape/to shed,tuō,[sound:脱.mp3]
演员,actor or actress; performer,yǎn yuán,[sound:演员.mp3]
寄,send by mail,jì,[sound:寄.mp3]
招聘,recruitment; take job applications for a job,zhāo pìn,[sound:招聘.mp3]
然而,however; yet; but (formal),rán ér,[sound:然而.mp3]
日记,diary,rì jì,[sound:日记.mp3]
葡萄,grape,pú tao,[sound:葡萄.mp3]
钥匙,key,yào shi,[sound:钥匙.mp3]
尤其,particularly,yóu qí,[sound:尤其.mp3]
暖和,warm; nice and warm,nuǎn huo,[sound:暖和.mp3]
顾客,customer; client,gù kè,[sound:顾客.mp3]
脏,filthy; dirty,zāng,[sound:脏.mp3]
尝,to taste; flavor; (past tense marker),cháng,[sound:尝.mp3]
参观,"to visit (a place, such as a tourist spot)/inspect/to look around",cān guān,[sound:参观.mp3]
付款,to pay,fù kuǎn,[sound:付款.mp3]
长江,The Yangtze River,cháng jiāng,[sound:长江.mp3]
打印,to print,dǎ yìn,[sound:打印.mp3]
大使馆,embassy,dà shǐ guǎn,[sound:大使馆.mp3]
售货员,salesclerk; shop assistant,shòu huò yuán,[sound:售货员.mp3]
打折,sell at a discount,dǎ zhé,[sound:打折.mp3]
居然,suprisingly/unexpectedly/go so far as to (used after subject),jū rán,[sound:居然.mp3]
梦想,dream; wishful thinking,mèng xiǎng,[sound:梦想.mp3]
淡,plain(without salt)/diluted/weak/,dàn,[sound:淡.mp3]
狮子,lion,shī zi,[sound:狮子.mp3]
疯狂,crazy; madness; wild; extreme popularity; insane; frenzied; unbridled,fēng kuáng,[sound:疯狂.mp3]
愿望,wish,yuàn wàng,[sound:愿望.mp3]
雷,thunder,léi,[sound:雷.mp3]
暗,dark; gloomy; hidden; secret,àn,[sound:暗.mp3]
天空,sky; space; heavens,tiān kōng,[sound:天空.mp3]
臭,smelly/stench/stink,chòu,[sound:臭.mp3]
持续,continue/continous/persist,chí xù,[sound:持续.mp3]
朝,to face; towards; dynasty,cháo,[sound:朝.mp3]
盆,basin; (flower) pot,pén,[sound:盆.mp3]
硬,hard; stiff; obstinately,yìng,[sound:硬.mp3]
主人,master; host; owner,zhǔ rén,[sound:主人.mp3]
反而,on the contrary/instead,fǎn ér,[sound:反而.mp3]
婚礼,wedding ceremony,hūn lǐ,[sound:婚礼.mp3]
至于,as for; go so far as to,zhì yú,[sound:至于.mp3]
答应,to promise/agree,dā ying,[sound:答应.mp3]
巨大,immense; enormous; very large,jù dà,[sound:巨大.mp3]
浅,shallow; simple; superficial; light (of colors),qiǎn,[sound:浅.mp3]
牛仔裤,jeans; cowboy pants,niú zǎi kù,[sound:牛仔裤.mp3]
不得了,extremely; very; terribly; my god! (expression of surprise),bù dé liǎo,[sound:不得了.mp3]
摘,"to take off accessories (informal with 下)/to pick (flowers, fruit, etc.); to pluck; to take; to borrow",zhāi,[sound:摘.mp3]
尾巴,tail,wěi ba,[sound:尾巴.mp3]
显然,obviously/clear/evidently,xiǎn rán,[sound:显然.mp3]
退休,to retire/retirement (from work),tuì xiū,[sound:退休.mp3]
大象,elephant,dà xiàng,[sound:大象.mp3]
闪电,lightning,shǎn diàn,[sound:闪电.mp3]
沙漠,desert,shā mò,[sound:沙漠.mp3]
着火,catch fire; ignite,zháo huǒ,[sound:着火.mp3]
预报,to predict; forecast,yù bào,[sound:预报.mp3]
劳驾,excuse me,láo jià,[sound:劳驾.mp3]
羽绒服,down jacket,yǔ róng fú,[sound:羽绒服.mp3]
要命,cause somebody's death; very; extremely; frighteningly; annoyance,yào mìng,[sound:要命.mp3]
漫长,very long; endless,màn cháng,[sound:漫长.mp3]
布置,arrange; decorate; decoration,bù zhì,[sound:布置.mp3]
旗袍,qi pao/cheongsam/Chinese-style dress,qí páo,[sound:旗袍.mp3]
北极,the North Pole,běi jí,[sound:北极.mp3]
沼泽,marsh; swamp; glade; wetlands,zhǎo zé,[sound:沼泽.mp3]
你饭做好了吗,Are you done cooking?,Nǐ fàn zuò hǎo le ma,[sound:你饭做好了吗.mp3]
亲戚,Relative (family),qīn qi,[sound:亲戚.mp3]
中国人有很多亲戚,Chinese people have lots of relatives,zhōng guó rén yǒu hěn duō qīn qi,[sound:中国人有很多亲戚.mp3]
母亲,Mother (formal),mǔ qīn,[sound:母亲.mp3]
父亲,Father (formal),fù qīn,[sound:父亲.mp3]
外公,Mother's father&nbsp;,wài gōng,[sound:外公.mp3]
外婆,Mother's mother,wài pó,[sound:外婆.mp3]
兄弟,Brothers,xiōng dì,[sound:兄弟.mp3]
姐妹,Sisters,jiě mèi,[sound:姐妹.mp3]
叔叔,Father's younger brother,shū shu,[sound:叔叔.mp3]
伯伯,Father's older brother,bó bo,[sound:伯伯.mp3]
姑姑,"Father's sisters (aunt, inc in-laws)",gū gu,[sound:姑姑.mp3]
阿姨,"Mother's sister (aunt, inc in-laws)",ā yí,[sound:阿姨.mp3]
舅舅,Mother's brothers,jiù jiu,[sound:舅舅.mp3]
家庭,family;household,jiā tíng,[sound:家庭.mp3]
阿姨舅舅都是来自母亲家庭的亲戚,Mother's sister Mother's brother are all relatives from Mother's family,ā yí jiù jiu dōu shì lái zì mǔ qīn jiā tíng de qīn qi,[sound:阿姨舅舅都是来自母亲家庭的亲戚.mp3]
你的亲戚多吗,Do you have many relatives?,nǐ de qīn qi duō mǎ,[sound:你的亲戚多吗.mp3]
来自,to come from,lái zì,[sound:来自.mp3]
表姐,Older female cousin from mother's side,biǎo jiě,[sound:表姐.mp3]
表哥,Older male cousin from mother's side,biǎo gē,[sound:表哥.mp3]
我属兔,I am a rabbit (chinese zodiac),wǒ shǔ tù,[sound:我属兔.mp3]
礼物,Gift;present,lǐ wù,[sound:礼物.mp3]
我为你准备了礼物,I prepared gifts for you,wǒ wéi nǐ zhǔn bèi le lǐ wù,[sound:我为你准备了礼物.mp3]
一本关于龙的书,A book about dragons,yī běn guān yú lóng de shū,[sound:一本关于龙的书.mp3]
一定,"absolutely,surely",yī dìng,[sound:一定.mp3]
他们一定会喜欢我的礼物,They will absolutely like my gifts,tā men yī dìng huì xǐ huan wǒ de lǐ wù,[sound:他们一定会喜欢我的礼物.mp3]
周末,The weekend,zhōu mò,[sound:周末.mp3]
我们一定会度过一个愉快的周末,We will absolutely have a happy weekend,wǒ men yī dìng huì dù guò yī gè yú kuài de zhōu mò,[sound:我们一定会度过一个愉快的周末.mp3]
做客,To be a guest/visitor,zuò kè,[sound:做客.mp3]
他们明天将来我家做客,They will come to my home for a visit tomorrow,tā men míng tiān jiāng lái wǒ jiā zuò kè,[sound:他们明天将来我家做客.mp3]
将来,in the distant future,jiāng lái,[sound:将来.mp3]
度过,spend(time); to pass,dù guò,[sound:度过.mp3]
周末愉快,Have a good weekend,zhōu mò yú kuài,[sound:周末愉快.mp3]
旅途愉快,Have a good trip,lǚ tú yú kuài,[sound:旅途愉快.mp3]
邻居,Neighbor,lín jū,[sound:邻居.mp3]
帅,Handsome/good-looking,shuài,[sound:帅.mp3]
小伙子,Young man/lad,xiǎo huǒ zi,[sound:小伙子.mp3]
热情,enthusiastic/warm,rè qíng,[sound:热情.mp3]
幽默,humourous/humour,yōu mò,[sound:幽默.mp3]
姑娘,young woman/girl (colloqial),gū niang,[sound:姑娘.mp3]
笨,dumb/silly/foolish,bèn,[sound:笨.mp3]
懒,Lazy,lǎn,[sound:懒.mp3]
认真,dedicated/serious/earnest,rèn zhēn,[sound:认真.mp3]
严格,Strict/rigorous,yán gé,[sound:严格.mp3]
勤奋,hard-working/diligent,qín fèn,[sound:勤奋.mp3]
挑剔,picky/fussy,tiāo ti,[sound:挑剔.mp3]
你的朋友是一个怎么样的人,What is your friend like (what kind of person),nǐ de péng you shì yī gè zěn yàng de rén,[sound:你的朋友是一个怎么样的人.mp3]
小林又高又帅,Xiao Lin is tall and handsome,xiǎo lín yòu gāo yòu shuài,[sound:小林又高又帅.mp3]
小林是一个又高又帅的小伙子,Xiao lin is a tall and handsome young man,xiǎo lín shì yī gè yòu gāo yòu shuài de xiǎo huǒ zi,[sound:小林是一个又高又帅的小伙子.mp3]
老王是一位热情幽默的先生,Lao Wang is a enthusiastic and humourous gentleman,lǎo wáng shì yī wèi rè qíng yōu mò de xiān sheng,[sound:老王是一位热情幽默的先生.mp3]
丽丽聪明漂亮,Lili is smart (and) pretty,lì lì cōng ming piào liang,[sound:丽丽聪明漂亮.mp3]
丽丽是一个聪明漂亮的姑娘,"Lili is a smart, pretty young woman",lì lì shì yī gè cōng ming piào liang de gū niang,[sound:丽丽是一个聪明漂亮的姑娘.mp3]
小李是一个又懒又笨的孩子,Xiao Li is a lazy and dumb kid,xiǎo lǐ shì yī gè yòu lǎn yòu bèn de hái zi,[sound:小李是一个又懒又笨的孩子.mp3]
马老是一位认真严格的老师,Ma Lao is a dedicated (and) strict teacher,mǎ lǎo shi yī wèi rèn zhēn yán gé de lǎo shī,[sound:马老是一位认真严格的老师.mp3]
唠叨,to nag/nagging/be talkative,láo dao,[sound:唠叨.mp3]
杂志,magazine,zá zhì,[sound:杂志.mp3]
笔记本,notebook,bǐ jì běn,[sound:笔记本.mp3]
橡皮,rubber; an eraser,xiàng pí,[sound:橡皮.mp3]
矿泉水,mineral water,kuàng quán shuǐ,[sound:矿泉水.mp3]
盒子,box,hé zi,[sound:盒子.mp3]
门口,"doorway,gate",mén kǒu,[sound:门口.mp3]
幅,"width of cloth; size; (mw for pictures, paintings, textiles)",fú,[sound:幅.mp3]
挂,hang; put up; suspend,guà,[sound:挂.mp3]
墙,wall,qiáng,[sound:墙.mp3]
棵,(mw for plants),kē,[sound:棵.mp3]
树,tree,shù,[sound:树.mp3]
种花,to plant flowers,zhòng huā,[sound:种花.mp3]
院子,yard (garden),yuàn zi,[sound:院子.mp3]
垃圾桶,garbage/trash can,lā jī tǒng,[sound:垃圾桶.mp3]
孩子长高了,The kid grew taller,hái zi zhǎng&nbsp;gāo le,[sound:孩子长高了.mp3]
裙子太长了,The dress is too long,qún zi tài cháng le,[sound:裙子太长了.mp3]
词典,dictionary,cí diǎn,[sound:词典.mp3]
这是我喝的矿泉水,This is the mineral water i drink,zhè shì wǒ hē de kuàng quán shuǐ,[sound:这是我喝的矿泉水.mp3]
放在厨房里的垃圾桶是灰色的,The trash can that was put in the kitchen is gray,fàng zài chú fáng lǐ de lā jī tǒng shì huī sè de,[sound:放在厨房里的垃圾桶是灰色的.mp3]
这个盒子被放在门口了,This box was left at the door,zhè ge hé zi bèi fàng zài mén kǒu le,[sound:这个盒子被放在门口了.mp3]
他写了这本词典,He wrote this dictionary,tā xiě le zhè běn cí diǎn,[sound:他写了这本词典.mp3]
这些是弟弟买的铅笔橡皮和笔记本,"These are the pencils,erasers and notebooks (my) younger brother bought",zhè xiē shì dì di mǎi de qiān bǐ xiàng pí hé bǐ jì běn,[sound:这些是弟弟买的铅笔橡皮和笔记本.mp3]
放在门口的盒子里有一个生日蛋糕,There is a birthday cake in the box that was left at the door,fàng zài mén kǒu de hé zi lǐ yǒu yī gè shēng rì dàn gāo,[sound:放在门口的盒子里有一个生日蛋糕.mp3]
这是她看的杂志,This is the magazine she reads,zhè shì tā kān de zá zhì,[sound:这是她看的杂志.mp3]
这幅画被挂在墙上了,This painting was hung on the wall,zhè fú huà bèi guà zài qiáng shàng le,[sound:这幅画被挂在墙上了.mp3]
种在院子里的树长高了,The tree planted in the yard grew taller,zhòng&nbsp;zài yuàn zi lǐ de shù zhǎng&nbsp;gāo le,[sound:种在院子里的树长高了.mp3]
这个垃圾桶被放在厨房里了,This trash can was put in the kitchen,zhè ge lā jī tǒng bèi fàng zài chú fáng lǐ le,[sound:这个垃圾桶被放在厨房里了.mp3]
挂在墙上的画儿是妹妹的画儿,The painting hanging on the wall is (my) younger sister's painting,Guà zài qiáng shàng de huà er shì mèi mei de huà er,[sound:挂在墙上的画儿是妹妹的画儿.mp3]
这是他写的词典,This is the dictionary that he wrote,zhè shì tā xiě de cí diǎn,[sound:这是他写的词典.mp3]
这棵树被种在院子里了,This tree was planted in the yard,zhè kē shù bèi zhòng&nbsp;zài yuàn zi lǐ le,[sound:这棵树被种在院子里了.mp3]
住,To live somewhere,Zhù,[sound:住.mp3]
郊区,Suburb,Jiāo qū,[sound:郊区.mp3]
城里,City,Chéng lǐ,[sound:城里.mp3]
热闹,Bustling/lively,Rè nào,[sound:热闹.mp3]
拥挤,Crowded,Yōng jǐ,[sound:拥挤.mp3]
安静,quiet; peaceful; calm,ān jìng,[sound:安静.mp3]
出发,start out; set off,chū fā,[sound:出发.mp3]
遥远,distant; remote,yáo yuǎn,[sound:遥远.mp3]
电梯,elevator,diàn tī,[sound:电梯.mp3]
别墅,villa,bié shù,[sound:别墅.mp3]
座,"(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand",zuò,[sound:座.mp3]
便利,convenient; easy; facilitate,biàn lì,[sound:便利.mp3]
市中心,downtown/city center,shì zhōng xīn,[sound:市中心.mp3]
一共,altogether; in total,yí gòng,[sound:一共.mp3]
层,"(mw for layers, floors of buildings)",céng,[sound:层.mp3]
楼梯,stair;staircase,lóu tī,[sound:楼梯.mp3]
餐厅,dining hall; cafeteria; restaurant,cān tīng,[sound:餐厅.mp3]
阳台,balcony,yáng tái,[sound:阳台.mp3]
书房,study (room),shū fáng,[sound:书房.mp3]
卫生间,restroom; bathroom; water closet (WC),wèi shēng jiān,[sound:卫生间.mp3]
电器,(electrical) appliance,diàn qì,[sound:电器.mp3]
代,generation (mw),dài,[sound:代.mp3]
居住,reside; dwell; to live (in a place) (placed after object),jū zhù,[sound:居住.mp3]
家具,Furniture&nbsp;,jiā jù,[sound:家具.mp3]
这座别墅非常适合三代人一起居住,This villa is very suitable for three generations to live together,zhè zuò bié shù fēi cháng shì hé sān dài rén yī qǐ jū zhù,[sound:这座别墅非常适合三代人一起居住.mp3]
城里虽然热闹但是太拥挤了,"Although it's bustling in the city, its too crowded",chéng lǐ suī rán rè nao dàn shì tài yōng jǐ le,[sound:城里虽然热闹但是太拥挤了.mp3]
每个房间都有家具和电器,Every room has furniture and appliances,měi gè fáng jiān dōu&nbsp;yǒu jiā jù hé diàn qì,[sound:每个房间都有家具和电器.mp3]
有的邻居在郊区上班,Some neighbors work in the suburbs,yǒu de lín jū zài jiāo qū shàng bān,[sound:有的邻居在郊区上班.mp3]
每天晚上我从城里出发开车回家,"Every evening I start from the city, (and i) drive home",měi tiān wǎn shang wǒ cóng chéng lǐ chū fā kāi chē huí jiā,[sound:每天晚上我从城里出发开车回家.mp3]
从一层到三层有楼梯也有电梯,"From the 1st floor to the 3rd floor, there are stairs and also an elevator",cóng yī céng dào sān céng yǒu lóu tī yě yǒu diàn tī,[sound:从一层到三层有楼梯也有电梯.mp3]
有的邻居在家里上班,Some neighbors work from home,yǒu de lín jū zài jiā lǐ shàng bān,[sound:有的邻居在家里上班.mp3]
爸爸妈妈和孩子适合住三层,"The third floor is perfect for the father,mother and child",bà ba mā ma hé hái zi shì hé zhù sān céng,[sound:爸爸妈妈和孩子适合住三层.mp3]
我不喜欢住在城里,I dont like living in the city,wǒ bù xǐ huan zhù zài chéng lǐ,[sound:我不喜欢住在城里.mp3]
第一层是客厅餐厅和厨房,"On the first floor are the living room, dining room and kitchen",dì yī céng shì kè tīng cān tīng hé chú fáng,[sound:第一层是客厅餐厅和厨房.mp3]
这座别墅虽然位于郊区但是交通非常便利,"Although this villa is located in the suburbs, the transportation is very convenient",zhè zuò bié shù suī rán wèi yú jiāo qū dàn shì jiāo tōng fēi cháng biàn lì,[sound:这座别墅虽然位于郊区但是交通非常便利.mp3]
别墅一共有三层,The villa has three levels in total,bié shù yī gòng yǒu sān céng,[sound:别墅一共有三层.mp3]
每天早上我从家出发开车去城里上班,"Every morning i start from home, (and i) drive to the city for work",měi tiān zǎo shang wǒ cóng jiā chū fā kāi chē qù chéng lǐ shàng bān,[sound:每天早上我从家出发开车去城里上班.mp3]
有的邻居在城里上班,Some neighbors work in the city,yǒu de lín jū zài chéng lǐ shàng bān,[sound:有的邻居在城里上班.mp3]
从别墅到市中心只需要半个小时,It takes only half an hour from the villa to downtown,cóng bié shù dào shì zhōng xīn zhǐ xū yào bàn ge xiǎo shí,[sound:从别墅到市中心只需要半个小时.mp3]
每层都有两个卫生间,Every floor has two bathrooms,měi céng dū yǒu liǎng gè wèi shēng jiān,[sound:每层都有两个卫生间.mp3]
第二层是卧室书房和阳台,"On the second floor are the bedroom, study and balcony",dì èr céng shì wò shì shū fáng hé yáng tái,[sound:第二层是卧室书房和阳台.mp3]
故事,story; tale,gù shi,[sound:故事.mp3]
狼,wolf,láng,[sound:狼.mp3]
功夫,kung fu; skill; art; labor,gōng fu,[sound:功夫.mp3]
森林,forest,sēn lín,[sound:森林.mp3]
从前,once apon a time/in the past/previously,cóng qián,[sound:从前.mp3]
美丽,beautiful (formal),měi lì,[sound:美丽.mp3]
王后,queen,wáng hòu,[sound:王后.mp3]
生,to give birth to/unripe,shēng,[sound:生.mp3]
白雪公主,Snow white (character),bái xuě gōng zhǔ,[sound:白雪公主.mp3]
哈里,Harry/Harri (Name),hā lǐ,[sound:哈里.mp3]
作家,author; writer,zuò jiā,[sound:作家.mp3]
魔法师,Magician&nbsp;,Mó fǎ shī,[sound:魔法师.mp3]
回答,to reply; to answer,huí dá,[sound:回答.mp3]
学会,To master sth,Xué huì,[sound:学会.mp3]
我问她您可以给我讲一个故事吗,"I ask her, can YOU tell me a story?",wǒ wèn tā nín kě yǐ gěi wǒ jiǎng yī gè gù shì mǎ,[sound:我问她您可以给我讲一个故事吗.mp3]
从前王后生了一个美丽的公主。他讲道,"Once apon a time, the queen gave birth to a beautiful princess. He says",cóng qián wáng hòu shēng le yī gè měi lì de gōng zhǔ。tā jiǎng dào,[sound:从前王后生了一个美丽的公主。他讲道.mp3]
那个姑娘说我也会魔法,"That young woman says, I know magic too",nà ge gū niang shuō wǒ yě huì mó fǎ,[sound:那个姑娘说我也会魔法.mp3]
