找,try to find,zhǎo,[sound:找.mp3]
不行,not allowed,Bù xíng,[sound:不行.mp3]
游戏,game,yóu xì,[sound:游戏.mp3]
适合,suitable for,Shì hé,[sound:适合.mp3]
进来吧,come in,Jìn lái ba&nbsp;,[sound:进来吧.mp3]
坏人,bad person,Huài rén,[sound:坏人.mp3]
加油,Come on! (Encouragement),Jiā yóu,[sound:加油.mp3]
集,Episode,Jí,[sound:集.mp3]
我还是老样子,The same old thing,Wǒ hái shì lǎo yàng zi,[sound:我还是老样子.mp3]
张婉凝,Zhang Wanning,Zhāng wǎn níng,[sound:张婉凝.mp3]
披萨,Pizza,Pī sà,[sound:披萨.mp3]
蛋炒饭,Egg fried rice,Dàn chǎo fàn,[sound:蛋炒饭.mp3]
德国,Germany,Dé guó,[sound:德国.mp3]
俄国,Russia,É guó,[sound:俄国.mp3]
意大利,Italy,Yì dà lì,[sound:意大利.mp3]
爱尔兰,Ireland,Ài ěr lán,[sound:爱尔兰.mp3]
加拿大,Canada,Jiā ná dà,[sound:加拿大.mp3]
泰国,Thailand,Tài guó,[sound:泰国.mp3]
汉语水平考试,HSK,Hàn yǔ shuǐ píng kǎo shì,[sound:汉语水平考试.mp3]
苏格兰,Scotland,Sū gé lán,[sound:苏格兰.mp3]
格拉斯哥,Glasgow,Gé lā sī gē,[sound:格拉斯哥.mp3]
爱丁堡,Edinburgh,Ài dīng bǎo,[sound:爱丁堡.mp3]
阿但丁,Aberdeen,A dàn dīng,[sound:阿但丁.mp3]
魔法,Magic,Mó fǎ,[sound:魔法.mp3]
棒,Stick,Bàng,[sound:棒.mp3]
挥动,to wave,Huī dòng,[sound:挥动.mp3]
然后,then; afterwards,rán hòu,[sound:然后.mp3]
青蛙,Frog,Qīng wā,[sound:青蛙.mp3]
自己,oneself; self,zì jǐ,[sound:自己.mp3]
应该,should,yīng gāi,[sound:应该.mp3]
别的,other,Bié de,[sound:别的.mp3]
地方,A place,dì fang,[sound:地方.mp3]
孤单,lonely,Gū dān,[sound:孤单.mp3]
需要,to need,xū yào,[sound:需要.mp3]
帮忙,to help,bāng máng,[sound:帮忙.mp3]
巧克力,Chocolate,Qiǎo kè lì,[sound:巧克力.mp3]
饼干,cookie,Bǐng gān,[sound:饼干.mp3]
舔,to Lick,Tiǎn,[sound:舔.mp3]
开始,begin; to start; beginning,kāi shǐ,[sound:开始.mp3]
视频,video,Shì pín,[sound:视频.mp3]
空气动力学,aerodynamics,Kōng qì dòng lì xué,[sound:空气动力学.mp3]
热力学,Thermodynamics,Rè lì xué,[sound:热力学.mp3]
力学,Mechanics,Lì xué,[sound:力学.mp3]
流体力学,Fluid Mechanics,Liú tǐ lì xué,[sound:流体力学.mp3]
工程师,Engineer,Gōng chéng shī,[sound:工程师.mp3]
微积分学,Calculus,Wéi jī fēn xué,[sound:微积分学.mp3]
室友,Roommate,Shì yǒu,[sound:室友.mp3]
下载,to download,Xià zài,[sound:下载.mp3]
上传,to upload,Shàng chuán,[sound:上传.mp3]
酸疼,Sore,Suān téng,[sound:酸疼.mp3]
下一集,Next episode,Xià yī jí,[sound:下一集.mp3]
鱼,fish,yú,[sound:鱼.mp3]
删除,to delete,Shān chú,[sound:删除.mp3]
深圳,Shenzhen,Shēnzhèn,[sound:深圳.mp3]
广州,Guangzhou,Guǎng zhōu,[sound:广州.mp3]
山东省,Shandong province,Shān dōng shěng,[sound:山东省.mp3]
潍坊,Weifang,Wéi fāng,[sound:潍坊.mp3]
微信,WeChat,Wēi xìn,[sound:微信.mp3]
你想一想,You think about it,Nǐ xiǎng yī xiǎng,[sound:你想一想.mp3]
今天天气怎么样,How's the weather today?,Jīn tiān tiān qì zěn me yàng?,[sound:今天天气怎么样.mp3]
炸鸡,deep fried chicken,Zhá jī,[sound:炸鸡.mp3]
活着,to be alive,Huó zhe,[sound:活着.mp3]
我回来了,Im back,Wǒ huí lái le,[sound:我回来了.mp3]
我准备好了,Im ready,Wǒ zhǔn bèi hǎo le,[sound:我准备好了.mp3]
组装,to assemble,Zǔ zhuāng,[sound:组装.mp3]
健身房,Gym,Jiàn shēn fáng,[sound:健身房.mp3]
一次性,One time use,Yī cì xìng,[sound:一次性.mp3]
等一会儿,Wait a little while,Děng yī huǐ'er,[sound:等一会儿.mp3]
炒鸡蛋,Scrambled eggs,Chǎo jī dàn,[sound:炒鸡蛋.mp3]
忘记,to forget,Wàng jì,[sound:忘记.mp3]
太多了,too much,Tài duō le,[sound:太多了.mp3]
我吃的太多了,I ate too much,Wǒ chī de tài duō le,[sound:我吃的太多了.mp3]
可爱,cute,Kě ài,[sound:可爱.mp3]
有点儿,kind of (used to describe a negative adjective),Yǒu diǎn er&nbsp;,[sound:有点儿.mp3]
站,to stand,Zhàn,[sound:站.mp3]
你可以的,You can do it!,Nǐ kěyǐ de,[sound:你可以的.mp3]
你是最棒的,You are the best&nbsp;,Nǐ shì zuì bàng de,[sound:你是最棒的.mp3]
你从哪里学习中文,Where did you learn chinese from&nbsp;,Nǐ cóng nǎlǐ xuéxí zhōngwén,[sound:你从哪里学习中文.mp3]
外面,Outside,Wài miàn,[sound:外面.mp3]
真的吗,Really?,Zhēn de ma,[sound:真的吗.mp3]
谢天谢地,Thank heavens!,Xiè tiān xiè dì,[sound:谢天谢地.mp3]
一般般,So-so,Yī bān bān,[sound:一般般.mp3]
更多,More&nbsp;,Gèng duō,[sound:更多.mp3]
我来自英国,I'm from the uk,Wǒ lái zì yīng guó,[sound:我来自英国.mp3]
火锅,Hotpot,Huǒ guō,[sound:火锅.mp3]
外卖,Takeaway (noun),Wàimài,[sound:外卖.mp3]
点,to order,Diǎn,[sound:点.mp3]
聊天,to chat about sth,Liáo tiān,[sound:聊天.mp3]
送,To deliver,Sòng,[sound:送.mp3]
记,to remember,Jì,[sound:记.mp3]
很多,A lot of,Hěn duō,[sound:很多.mp3]
很久,<div>long time<br></div>,Hěn jiǔ,[sound:很久.mp3]
微波炉,Microwave,Wéi bō lú,[sound:微波炉.mp3]
粥,Porridge,zhōu,[sound:粥.mp3]
你不需要等我,You don't need to wait for me&nbsp;,Nǐ bù xūyào děng wǒ,[sound:你不需要等我.mp3]
我很久没吃披萨了,I haven't eaten pizza in a long time,Wǒ hěn jiǔ méi chī pī sà le,[sound:我很久没吃披萨了.mp3]
动物园,Zoo,Dòng wù yuán,[sound:动物园.mp3]
讨厌,to hate,Tǎo yàn,[sound:讨厌.mp3]
尝试,to try,Cháng shì,[sound:尝试.mp3]
本科生,Undergraduate student,běn kē shēng,[sound:本科生.mp3]
研究生,postgraduate student&nbsp;,yán jiū shēng,[sound:研究生.mp3]
作业,Homework,Zuò yè,[sound:作业.mp3]
豆腐,Tofu,Dòu fu,[sound:豆腐.mp3]
最后,last/final,Zuì hòu,[sound:最后.mp3]
爸妈,Parents (informal),Bà mā,[sound:爸妈.mp3]
你今天过得怎么样,How was your day today?,Jīn tiān guò dé zěn me yàng,[sound:你今天过得怎么样.mp3]
晚点,Later,Wǎn diǎn,[sound:晚点.mp3]
中国音乐,Chinese music,Zhōng guó yīn yuè,[sound:中国音乐.mp3]
你想跟我聊什么,What do you want to chat about with me,Nǐ xiǎng hé wǒ liáo shén me,[sound:你想跟我聊什么.mp3]
聊,To chat,Liáo,[sound:聊.mp3]
教练,Coach/personal trainer,Jiào liàn,[sound:教练.mp3]
别担心,Don't worry&nbsp;,Bié dān xīn,[sound:别担心.mp3]
请说慢一点,Please speak a little slower,Qǐng shuō màn yī diǎn,[sound:请说慢一点.mp3]
一点儿,A little bit (as a measure of a noun),Yī diǎn er,[sound:一点儿.mp3]
从不,Never&nbsp;,Cóng bù,[sound:从不.mp3]
很少,Rarely,Hěn shǎo,[sound:很少.mp3]
偶尔,Occasionally&nbsp;,Ǒu ěr,[sound:偶尔.mp3]
经常,Often,Jīng cháng,[sound:经常.mp3]
歌词,Lyrics (for a song),Gē cí,[sound:歌词.mp3]
组,A group (set for exercise),Zǔ,[sound:组.mp3]
训练,to train,Xùn liàn,[sound:训练.mp3]
有氧训练,Cardio&nbsp;,Yǒu yǎng xùn liàn,[sound:有氧训练.mp3]
重量训练,Weight training,Zhòng liàng xùn liàn,[sound:重量训练.mp3]
核心训练,Core training (abs),Hé xīn xùn liàn,[sound:核心训练.mp3]
三头肌,Tricep,Sān tóu jī,[sound:三头肌.mp3]
二头肌,Bicep,Èr tóu jī,[sound:二头肌.mp3]
肩膀,Shoulder,Jiān bǎng,[sound:肩膀.mp3]
重量,Weights,Zhòng liàng,[sound:重量.mp3]
哑铃,Dumbbells&nbsp;,Yǎ líng,[sound:哑铃.mp3]
杠铃,Barbell,Gàng líng,[sound:杠铃.mp3]
壶铃,Kettlebells,Hú líng,[sound:壶铃.mp3]
单杠,Horizontal bar (for pull ups ect),Dān gàng,[sound:单杠.mp3]
跑步机,Treadmill,Pǎo bù jī,[sound:跑步机.mp3]
划船机,Rowing machine,Huá chuán jī,[sound:划船机.mp3]
椭圆机,Elliptical machine,Tuǒ yuán jī,[sound:椭圆机.mp3]
滑步机,Cross trainer,Huá bù jī,[sound:滑步机.mp3]
直播,Live broadcast,Zhí bò,[sound:直播.mp3]
自己学的,Self taught,Zì jǐ xué de,[sound:自己学的.mp3]
咸,Salty,Xián,[sound:咸.mp3]
里面,Inside,Lǐ miàn,[sound:里面.mp3]
顽皮,Naughty,Wán pí,[sound:顽皮.mp3]
购物,Shopping (noun),Gòu wù,[sound:购物.mp3]
推车,Cart/Trolley,Tuī chē,[sound:推车.mp3]
购清单,Shopping list,Gòu qīng dān,[sound:购清单.mp3]
番茄,Tomato,Fān qié,[sound:番茄.mp3]
洋葱,Onion,Yáng cōng,[sound:洋葱.mp3]
首先,First of all (conjunction),Shǒu xiān,[sound:首先.mp3]
做得好,Well done,Zuò dé hǎo,[sound:做得好.mp3]
薯片,Crisps,Shǔ piàn,[sound:薯片.mp3]
猜,To guess,Cāi,[sound:猜.mp3]
恐龙,Dinosaur,Kǒng lóng,[sound:恐龙.mp3]
超市,Supermarket,Chāo shì,[sound:超市.mp3]
我现在想起来了,I just remembered now,Wǒ xiànzài xiǎng qǐ lái le,[sound:我现在想起来了.mp3]
基本上,Basically...,Jī běn shàng,[sound:基本上.mp3]
蛋糕,Cake,Dàn gāo,[sound:蛋糕.mp3]
垃圾,Rubbish&nbsp;,lā jī,[sound:垃圾.mp3]
我吃饱了,I'm full,Wǒ chī bǎo le&nbsp;,[sound:我吃饱了.mp3]
很高兴认识你,Nice to meet you,Hěn gāo xìng rèn shí nǐ,[sound:很高兴认识你.mp3]
这个字怎么读,How to read (pronounce) this character,Zhè ge zì zěn me dú,[sound:这个字怎么读.mp3]
别说话,Don't speak,Bié shuō huà,[sound:别说话.mp3]
听力,Listening (the ability to),Tīng lì,[sound:听力.mp3]
迷路,To get lost,Mí lù,[sound:迷路.mp3]
仙女,Fairy,Xiān nǚ,[sound:仙女.mp3]
公主,Princess,Gōng zhǔ,[sound:公主.mp3]
护士,Nurse,Hù shì,[sound:护士.mp3]
那么,Then...,Nà me,[sound:那么.mp3]
扮演,To play the part of&nbsp;,Bàn yǎn,[sound:扮演.mp3]
心脏,Heart,Xīn zàng,[sound:心脏.mp3]
心跳,Heart beat,Xīn tiào,[sound:心跳.mp3]
贴,To stick,Tiē,[sound:贴.mp3]
创口贴,Bandage,Chuāng kǒu tiē,[sound:创口贴.mp3]
量,To measure,Liáng,[sound:量.mp3]
体温,Body temperature,Tǐ wēn,[sound:体温.mp3]
躺,To lay,Tǎng,[sound:躺.mp3]
名词,Noun,Míng cí,[sound:名词.mp3]
动词,Verb,Dòng cí,[sound:动词.mp3]
形容词,Adjective,Xíng róng cí,[sound:形容词.mp3]
副词,Adverb&nbsp;,Fù cí,[sound:副词.mp3]
量词,Measure word,Liàng cí,[sound:量词.mp3]
鹦鹉,Parrot,Yīng wǔ,[sound:鹦鹉.mp3]
惊喜,Surprise,Jīng xǐ,[sound:惊喜.mp3]
宠物,Pet,Chǒng wù,[sound:宠物.mp3]
养,To raise (a pet/child),Yǎng,[sound:养.mp3]
聪明,Smart,Cōng míng,[sound:聪明.mp3]
科学,Science,Kē xué,[sound:科学.mp3]
听说,To hear of sth,Tīng shuō,[sound:听说.mp3]
歌曲,Song,Gē qǔ,[sound:歌曲.mp3]
加班,To work overtime,Jiā bān,[sound:加班.mp3]
舒服,Comfortable/feel well,Shū fú,[sound:舒服.mp3]
痒,To tickle/itch,Yǎng,[sound:痒.mp3]
响,To make a sound,Xiǎng,[sound:响.mp3]
赶着要去,In a hurry to go do sth,Gǎn zhe yào qù,[sound:赶着要去.mp3]
吵,Noisy,Chǎo,[sound:吵.mp3]
干净,Clean,Gān jìng,[sound:干净.mp3]
肮脏,Dirty,Āng zāng,[sound:肮脏.mp3]
鸭子,Duck,Yā zi,[sound:鸭子.mp3]
假装,To pretend to be someone,jiǎ zhuāng,[sound:假装.mp3]
摘掉,To take off,Zhāi diào,[sound:摘掉.mp3]
你做的什么菜都好吃,All of the dishes you cook are delicious,Nǐ zuò de shén me cài dōu hào chī,[sound:你做的什么菜都好吃.mp3]
所有,All of...,Suǒ yǒu,[sound:所有.mp3]
你看起来困,You look sleepy,Nǐ kàn qǐ lái kùn,[sound:你看起来困.mp3]
模糊,To blur/blurry,Mó hú,[sound:模糊.mp3]
你对我很重要,You are important to me,Nǐ duì wǒ hěn zhòng yào,[sound:你对我很重要.mp3]
对我来说咖啡太苦了,"For me, coffee is too bitter",Duì wǒ lái shuō kāfēi tài kǔ le,[sound:对我来说咖啡太苦了.mp3]
有的时候,Sometimes (time phrase),Yǒu de shí hòu,[sound:有的时候.mp3]
找不到,Can't find sth,Zhǎo bù dào,[sound:找不到.mp3]
我到处都找不到,I can't find it anywhere&nbsp;,Wǒ dào chù dōu zhǎo bù dào,[sound:我到处都找不到.mp3]
到处都,Anywhere,dào chù dōu,[sound:到处都.mp3]
糟了,Oops/oh no,Zāo le,[sound:糟了.mp3]
着急,Anxious,Zhāo jí,[sound:着急.mp3]
根本,At all/totally (adverb used to emphasise negation),Gēn běn,[sound:根本.mp3]
看不了,Can't read sth (due to factor outside of your control),Kàn bù liǎo,[sound:看不了.mp3]
令人,To cause someone/make one do sth,Lìng rén,[sound:令人.mp3]
无语,Speechless&nbsp;,Wú yǔ,[sound:无语.mp3]
肯定,It's must be that...,Kěn dìng,[sound:肯定.mp3]
有人,Someone (a person exists that...),Yǒu rén,[sound:有人.mp3]
藏,To hide sth,Cáng,[sound:藏.mp3]
放,To place/put sth somewhere&nbsp;,Fàng,[sound:放.mp3]
口袋,Pocket,Kǒu dài,[sound:口袋.mp3]
好主意,Good idea,Hǎo zhǔ yì,[sound:好主意.mp3]
并没有,actually not (disagree with previous statement),Bìng méi yǒu,[sound:并没有.mp3]
楼上,Upstairs,Lóu shàng,[sound:楼上.mp3]
楼下,Down stairs,Lóu xià,[sound:楼下.mp3]
小心一点,Be careful (not in a serious situation),Xiǎo xīn yī diǎn,[sound:小心一点.mp3]
小心,Be careful (serious situation),Xiǎo xīn,[sound:小心.mp3]
好笑,Funny,Hǎo xiào,[sound:好笑.mp3]
笑话,Joke,Xiào huà,[sound:笑话.mp3]
别把东西碰到了,Don't bump into anything,Bié bǎ dōngxī pèng dào le,[sound:别把东西碰到了.mp3]
拖鞋,Slippers/flip flops,Tuō xié,[sound:拖鞋.mp3]
浴室,Bath room (with a shower/bath),Yù shì,[sound:浴室.mp3]
浴缸,Bathtub,Yù gāng,[sound:浴缸.mp3]
马桶,Toilet (literally),Mǎ tǒng,[sound:马桶.mp3]
那又怎么样,So what?,Nà yòu zěn me yàng,[sound:那又怎么样.mp3]
怎么办,What to do?,Zěn me bàn,[sound:怎么办.mp3]
看来,It seems.../it's looks as if...,Kàn lái,[sound:看来.mp3]
适应,To adapt to sth,Shì yìng,[sound:适应.mp3]
生活,Life,Shēng huó,[sound:生活.mp3]
原来,As It turns out...,Yuán lái,[sound:原来.mp3]
迷糊,Confused/clueless,Mí hú,[sound:迷糊.mp3]
哇噻,Wow!,Wā sāi,[sound:哇噻.mp3]
摄像机,Movie/Video camera,Shè xiàng jī,[sound:摄像机.mp3]
邮递员,Mailman/postman,Yóu dì yuán,[sound:邮递员.mp3]
斑马,Zebra,Bān mǎ,[sound:斑马.mp3]
送信,Mail delivery,Sòng xìn,[sound:送信.mp3]
包裹,Package,Bāo guǒ,[sound:包裹.mp3]
邮局,Post office,Yóu jú,[sound:邮局.mp3]
放弃,To give up,Fàng qì,[sound:放弃.mp3]
不管多难你都不能放弃,"No matter how difficult it is, you can't give up",Bù guǎn duō nàn nǐ dōu bù néng fàng qì,[sound:不管多难你都不能放弃.mp3]
怎么会,How is this possible?,Zěn me huì,[sound:怎么会.mp3]
答案,Answer/solution,Dá àn,[sound:答案.mp3]
很接近答案了,Very close to the answer,Hěn jiē jìn dá àn le,[sound:很接近答案了.mp3]
瞧,Look/Voila (informal),Qiáo,[sound:瞧.mp3]
跟着说,Repeat speaking (follow speaking),Gēn zhe shuō,[sound:跟着说.mp3]
语法,Grammar,Yǔ fǎ,[sound:语法.mp3]
影片,Movie clip,Yǐng piàn,[sound:影片.mp3]
就算,Even if (informal),Jiù suàn,[sound:就算.mp3]
说明书,Instruction manual,Shuō míng shū,[sound:说明书.mp3]
想象,To imagine,Xiǎng xiàng,[sound:想象.mp3]
中国比我想象中的要大,China is bigger than I imagined,Zhōng guó bǐ wǒ xiǎng xiàng zhōng de yāo dà,[sound:中国比我想象中的要大.mp3]
比我想象中的要难,This is harder than I imagined,Bǐ wǒ xiǎng xiàng zhōng de yāo nán,[sound:比我想象中的要难.mp3]
按,To press/push sth,Àn,[sound:按.mp3]
按钮,Button (on a machine),Àn niǔ,[sound:按钮.mp3]
直接,Direct/immediate&nbsp;,Zhí jiē,[sound:直接.mp3]
我说得越来越好了,I speak better and better,Wǒ shuō dé yuè lái yuè hǎo le,[sound:我说得越来越好了.mp3]
购买,To Purchase (formal to buy),Gòu mǎi,[sound:购买.mp3]
迫不及待,To be eager,Pò bù jí dài,[sound:迫不及待.mp3]
部,Measure word for books/films,Bù,[sound:部.mp3]
声音,Sound,Shēng yīn,[sound:声音.mp3]
我不太明白,I don't fully understand,Wǒ bù tài míng bái,[sound:我不太明白.mp3]
事半功倍,"Half the work, twice the effect (work smarter not harder) idiom",Shì bàn gōng bèi,[sound:事半功倍.mp3]
停,To stop/pause,Tíng,[sound:停.mp3]
照顾,To take care of&nbsp;,Zhào gù,[sound:照顾.mp3]
段,Measure word for short video clip/portion of a video,Duàn,[sound:段.mp3]
不许,To not allow&nbsp;,Bù xǔ,[sound:不许.mp3]
偷看,To peek,Tōu kàn,[sound:偷看.mp3]
出镜,To appear in a video/on tv,Chū jìng,[sound:出镜.mp3]
检查,To check/inspect,jiǎn chá,[sound:检查.mp3]
安全,To be safe/safety,ān quán,[sound:安全.mp3]
泥,Mud,Ní,[sound:泥.mp3]
而已,...that's all/nothing more,Ér yǐ,[sound:而已.mp3]
让我猜一猜,Let me guess,Ràng wǒ cāi yī cāi,[sound:让我猜一猜.mp3]
放心,To feel releved/relaxed,Fàng xīn,[sound:放心.mp3]
没事,It's nothing/never mind&nbsp;,Méi shì,[sound:没事.mp3]
清理,To Clean up/sort out,Qīng lǐ,[sound:清理.mp3]
冰淇淋,Ice cream,Bīng qí lín,[sound:冰淇淋.mp3]
你做饭好了吗,Are you done cooking?,Nǐ zuò fàn hǎo le ma,[sound:你做饭好了吗.mp3]
吓人,To be scary,Xià rén,[sound:吓人.mp3]
吓坏了,To get badly scared,Xià huài le,[sound:吓坏了.mp3]
害怕,To get scared,Hài pà,[sound:害怕.mp3]
中文怎么说,How do you say this in chinese？,Zhōng wén zěn me shuō,[sound:中文怎么说.mp3]
话题,Topic of conversation,Huà tí,[sound:话题.mp3]
模仿,To imitate,Mó fǎng,[sound:模仿.mp3]
那样,Like that&nbsp;,Nà yàng,[sound:那样.mp3]
这样,Like this,Zhè yàng,[sound:这样.mp3]
平时,Ordinarily/normally,Píng shí,[sound:平时.mp3]
我越跑越累,"The more I run, the more I get tired",Wǒ yuè pǎo yuè lèi,[sound:我越跑越累.mp3]
原来是这样,So that's what it is. (Initially didn't understand but now do),Yuán lái shì zhè yàng,[sound:原来是这样.mp3]
花园,Garden,Huā yuán,[sound:花园.mp3]
靴子,Boots,Xuē zi,[sound:靴子.mp3]
身上,On ones body/on one&nbsp;,Shēn shang,[sound:身上.mp3]
吓唬,To frighten,Xià hǔ,[sound:吓唬.mp3]
身边,At/by ones side,shēn biān,[sound:身边.mp3]
别把东西落下了,Don't leave anything behind,Bié bǎ dōngxī là xià le,[sound:别把东西落下了.mp3]
遮阳伞,Sun-umberella,zhē yáng sǎn,[sound:遮阳伞.mp3]
伞,Umbrella&nbsp;,sǎn,[sound:伞.mp3]
海滩包,Beach bag,Hǎi tān bāo,[sound:海滩包.mp3]
水桶,Water bucket,Shuǐ tǒng,[sound:水桶.mp3]
铲子,Shovel,Chǎn zi,[sound:铲子.mp3]
沙滩球,Beach ball,Shā tān qiú,[sound:沙滩球.mp3]
涂,To apply/spread,Tú,[sound:涂.mp3]
防晒霜,Sun screen,Fáng shài shuāng,[sound:防晒霜.mp3]
太阳太毒了,The sun is too strong,Tài yáng tài dú le,[sound:太阳太毒了.mp3]
你是对的,You are right,Nǐ shì duì de,[sound:你是对的.mp3]
让我想想,Let me think,Ràng wǒ xiǎng xiǎng,[sound:让我想想.mp3]
我考虑一下,Let me consider it,Wǒ kǎo lǜ yī xià,[sound:我考虑一下.mp3]
下次吧,Let's do it next time (No),Xià cì ba,[sound:下次吧.mp3]
再说吧,Let's talk about it later (No),Zài shuō ba,[sound:再说吧.mp3]
香蕉,Banana,Xiāng jiāo,[sound:香蕉.mp3]
发信息,To send a message,Fā xìn xī,[sound:发信息.mp3]
你一周去四次健身房,You go to the gym four times a week,Nǐ yī zhōu qù sì cì jiàn shēn fáng,[sound:你一周去四次健身房.mp3]
香港,Hong Kong&nbsp;,Xiāng gǎng,[sound:香港.mp3]
我腿麻了,My legs are numb,Wǒ tuǐ má le,[sound:我腿麻了.mp3]
大米,Un cooked rice,Dà mǐ,[sound:大米.mp3]
从家到大学走路只需要两分钟,It only takes 2 minutes to walk from home to university&nbsp;,Cóng jiā dào dà xué zǒu lù zhǐ xūyào liǎng fēn zhōng,[sound:从家到大学走路只需要两分钟.mp3]
办公室,Office,Bàn gōng shì,[sound:办公室.mp3]
复习,To revise/review,Fù xí,[sound:复习.mp3]
真不错,That's good (pleasant surprise),Zhēn bù cuò,[sound:真不错.mp3]
扔,To throw/toss,Rēng,[sound:扔.mp3]
追,To peruse/chase,Zhuī,[sound:追.mp3]
接住,To catch (something thrown),Jiē zhù,[sound:接住.mp3]
