(romantic) love,爱情;愛情,ài qíng
arrange; to plan,安排;安排,ān pái
safe; safety; secure; security,安全;安全,ān quán
on time; on schedule,按时;按時,àn shí
according to; in accordance with; in light of,按照;按照,àn zhào
percent,百分之;百分之,bǎi fēn zhī
stick; club; good; excellent,棒;棒,bàng
steamed stuffed bun,包子;包子,bāo zi
to protect; to defend,保护;保護,bǎo hù
to guarantee; ensure,保证;保證,bǎo zhèng
sign up; apply,报名;報名,bào míng
to hold; to hug; carry in one's arms; to cradle,抱;抱,bào
be sorry; feel apologetic; to regret,抱歉;抱歉,bào qiàn
"(two, three, etc)-fold; times (multiplier)",倍;倍,bèi
originally; at first,本来;本來,běn lái
stupid; foolish; silly; dumb; clumsy,笨;笨,bèn
for example; for instance; such as,比如;比如,bǐ rú
to graduate; to finish school,毕业;畢業,bì yè
a time; everywhere; turn; (mw for times or turns),遍;遍,biàn
(an official) standard; norm; criterion,标准;標准,biāo zhǔn
form (document),表格;表格,biǎo gé
express; show; indicate,表示;表示,biǎo shì
perform; to play,表演;表演,biǎo yǎn
to praise; commend,表扬;表揚,biǎo yáng
biscuit; cracker; cookie,饼干;餅幹,bǐng gān
and; besides; moreover,并且;並且,bìng qiě
doctor; PhD,博士;博士,bó shì
have to; have no choice but to; cannot but,不得不;不得不,bù dé bù
"no matter (what, how, etc.); regardless of",不管;不管,bù guǎn
only; merely; but; however,不过;不過,bú guò
not only; not just,不仅;不僅,bù jǐn
part; share; section,部分;部分,bù fen
to wipe; to rub; to polish,擦;擦,cā
to guess,猜;猜,cāi
material,材料;材料,cái liào
"to visit (a place, such as a tourist spot); inspect",参观;參觀,cān guān
dining hall; cafeteria; restaurant,餐厅;餐廳,cān tīng
bathroom; toilet; lavatory,厕所;廁所,cè suǒ
almost; about the same,差不多;差不多,chà bu duō
the Great Wall,长城;長城,cháng chéng
the Yangtze River; the Changjiang River,长江;長江,cháng jiāng
to taste; flavor; (past tense marker),尝;嘗,cháng
"courtyard; place; field; (mw for games, performances, etc.)",场;場,chǎng
surpass; exceed; outstrip,超过;超過,chāo guò
success; to succeed,成功;成功,chéng gōng
become; turn into,成为;成爲,chéng wéi
honest; honorable,诚实;誠實,chéng shí
ride; get into (a vehicle),乘坐;乘坐,chéng zuò
be startled; be shocked; be amazed,吃惊;吃驚,chī jīng
again; anew; once more,重新;重新,chóng xīn
"to smoke (a cigarette, pipe, etc.)",抽烟;抽煙,chōu yān
go on a business trip,出差;出差,chū chāi
start out; set off,出发;出發,chū fā
be born,出生;出生,chū shēng
appear; arise; emerge,出现;出現,chū xiàn
kitchen,厨房;廚房,chú fáng
fax; facsimile,传真;傳真,chuán zhēn
window,窗户;窗戶,chuāng hu
words and expressions; terms,词语;詞語,cí yǔ
always; at all times,从来;從來,cóng lái
careless; inadvertent; negligent,粗心;粗心,cū xīn
exist; to deposit; to store,存;存,cún
error; mistake; mistaken,错误;錯誤,cuò wù
answer; solution,答案;答案,dá àn
dress up; put on make up,打扮;打扮,dǎ ban
disturb,打扰;打擾,dǎ rǎo
to print,打印;打印,dǎ yìn
notify; greet; inform,打招呼;打招呼,dǎ zhāo hu
sell at a discount,打折;打折,dǎ zhé
inject; get a shot,打针;打針,dǎ zhēn
probably; roughly; approximate,大概;大概,dà gài
embassy,大使馆;大使館,dà shǐ guǎn
approximately; about,大约;大約,dà yuē
doctor; physician,大夫;大夫,dài fu
put on; to wear; to respect,戴;戴,dài
should; act as; work as; manage; match; (sound of bells),当;當,dāng
then; at that time; while,当时;當時,dāng shí
knife; blade (Kangxi radical 18),刀;刀,dāo
tour guide,导游;導遊,dǎo yóu
everywhere; in all places; all over,到处;到處,dào chù
after all; in the end (used in a question),到底;到底,dào dǐ
to collapse; to fall; fail; to exchange | to pour; contrary to expectations,倒;倒,dǎo | dào
apologize; make an apology,道歉;道歉,dào qiàn
proud of oneself; complacent,得意;得意,dé yì
(complement particle),得;得,de
boarding pass,登机牌;登機牌,dēng jī pái
to wait; rank; equal; etc.,等;等,děng
low; to lower (one's head); droop,低;低,dī
bottom; background; base,底;底,dǐ
place; site; location,地点;地點,dì diǎn
the Earth; planet,地球;地球,dì qiú
address,地址;地址,dì zhǐ
investigate; survey; inquiry,调查;調查,diào chá
to drop; to fall,掉;掉,diào
lose (something); throw; put aside,丢;丟,diū
movement; motion; action,动作;動作,dòng zuò
traffic jam,堵车;堵車,dǔ chē
belly; abdomen; stomach,肚子;肚子,dù zi
text message; SMS,短信;短信,duǎn xìn
dialogue; conversation,对话;對話,duì huà
opposite; across from; the other side,对面;對面,duì miàn
regarding; as far as sth. is concerned; with regards to; for,对于;對于,duì yú
child; children,儿童;兒童,ér tóng
and; but; yet; while (Kangxi radical 126),而;而,ér
happen; occur; take place,发生;發生,fā shēng
develop; development; growth,发展;發展,fā zhǎn
law; statute,法律;法律,fǎ lǜ
translate; translation; interpret,翻译;翻譯,fān yì
worried; vexed,烦恼;煩惱,fán nǎo
oppose; fight against,反对;反對,fǎn duì
method; way; means,方法;方法,fāng fǎ
aspect; field; side,方面;方面,fāng miàn
direction; orientation,方向;方向,fāng xiàng
landlord,房东;房東,fáng dōng
abandon; renounce; give up,放弃;放棄,fàng qì
have summer vacation,放暑假;放暑假,fàng shǔ jià
relax; loosen; slacken,放松;放松,fàng sōng
"part; portion; (mw for documents, papers, jobs, etc.)",份;份,fèn
rich; enrich; abundant; plentiful,丰富;豐富,fēng fù
if not; otherwise; or else,否则;否則,fǒu zé
in keeping with; in accordance with; conform,符合;符合,fú hé
father,父亲;父親,fù qin
to pay,付款;付款,fù kuǎn
responsible for (something); in charge of,负责;負責,fù zé
photocopy; duplicate,复印;複印,fù yìn
complicated; complex,复杂;複雜,fù zá
wealthy,富;富,fù
to change; alter; to transform,改变;改變,gǎi biàn
to drink a toast; cheers!; bottoms up!,干杯;幹杯,gān bēi
catch up; overtake; drive away,赶;趕,gǎn
to dare,敢;敢,gǎn
be moved; to touch emotionally,感动;感動,gǎn dòng
to feel; become aware of; feeling,感觉;感覺,gǎn jué
feeling; emotion; sensation,感情;感情,gǎn qíng
thank; be grateful,感谢;感謝,gǎn xiè
to concern; shield; dry; clean (Kangxi radical 51),干;幹,gān
just (indicating the immediate past); recently; firm,刚;剛,gāng
highway,高速公路;高速公路,gāo sù gōng lù
arm,胳膊;胳膊,gē bo
each; every,各;各,gè
wages; pay; earnings; salary,工资;工資,gōng zī
kilometer,公里;公裏,gōng lǐ
kung fu; skill; art; labor,功夫;功夫,gōng fu
together; common; joint,共同;共同,gòng tóng
go shopping; buy goods,购物;購物,gòu wù
enough; to reach,够;夠,gòu
appraise; estimate,估计;估計,gū jì
encourage; inspire,鼓励;鼓勵,gǔ lì
deliberately; intentional; on purpose,故意;故意,gù yì
customer; client,顾客;顧客,gù kè
hang; put up; suspend,挂;挂,guà
crucial; key; pivotal,关键;關鍵,guān jiàn
spectator; audience,观众;觀衆,guān zhòng
supervise; manage,管理;管理,guǎn lǐ
light; ray; bright; only; merely; used up,光;光,guāng
broadcast; on the air,广播;廣播,guǎng bō
advertisement; a commercial,广告;廣告,guǎng gào
to stroll; to visit; go window shopping,逛;逛,guàng
regulation; stipulate; fix; set,规定;規定,guī dìng
nationality,国籍;國籍,guó jí
international,国际;國際,guó jì
fruit juice,果汁;果汁,guǒ zhī
course of events; process,过程;過程,guò chéng
ocean,海洋;海洋,hǎi yáng
blush; shy,害羞;害羞,hài xiū
winter vacation,寒假;寒假,hán jià
sweat; perspiration; Khan,汗;汗,hàn
scheduled flight; flight number,航班;航班,háng bān
benefit; advantage,好处;好處,hǎo chu
as if; seem to be,好像;好像,hǎo xiàng
number,号码;號碼,hào mǎ
qualified; up to standard,合格;合格,hé gé
suitable; proper; appropriate,合适;合適,hé shì
box,盒子;盒子,hé zi
to regret; repent,后悔;後悔,hòu huǐ
thick (for flat things); generous,厚;厚,hòu
Internet,互联网;互聯網,hù lián wǎng
mutually; with each other,互相;互相,hù xiāng
nurse,护士;護士,hù shi
doubt; to suspect; be skeptical,怀疑;懷疑,huái yí
to recall; recollect,回忆;回憶,huí yì
activity; exercise; move about,活动;活動,huó dòng
lively; vivacious,活泼;活潑,huó po
fire (Kangxi radical 86),火;火,huǒ
obtain; acquire; to gain,获得;獲得,huò dé
active; positive; energetic,积极;積極,jī jí
accumulate; accumulation,积累;積累,jī lěi
base; foundation,基础;基礎,jī chǔ
excite; agitate,激动;激動,jī dòng
timely; in time; promptly; without delay,及时;及時,jí shí
even if; even though,即使;即使,jí shǐ
plan; project,计划;計劃,jì huà
reporter; journalist,记者;記者,jì zhě
technology; technique; skill,技术;技術,jì shù
since; given that; now that,既然;既然,jì rán
to continue; to go on; to proceed,继续;繼續,jì xù
send by mail,寄;寄,jì
work overtime,加班;加班,jiā bān
gas station,加油站;加油站,jiā yóu zhàn
furniture,家具;家具,jiā jù
fake; if; borrow | vacation; holiday,假;假,jiǎ | jià
price,价格;價格,jià gé
persist in; persevere,坚持;堅持,jiān chí
go on a diet; lose weight,减肥;減肥,jiǎn féi
reduce; to decrease,减少;減少,jiǎn shǎo
to propose; to suggest; recommend,建议;建議,jiàn yì
the future,将来;將來,jiāng lái
bonus,奖金;獎金,jiǎng jīn
reduce; to lower; to drop,降低;降低,jiàng dī
descend; to land; put down,降落;降落,jiàng luò
deliver; turn over; intersect; to pay (money); friendship,交;交,jiāo
communicate; exchange; give and take; interaction; to alternate,交流;交流,jiāo liú
traffic; transportation,交通;交通,jiāo tōng
suburbs; outskirts,郊区;郊區,jiāo qū
proud; arrogant; conceited; take pride in,骄傲;驕傲,jiāo ào
dumpling; potsticker,饺子;餃子,jiǎo zi
professor; instruct; to lecture,教授;教授,jiào shòu
education,教育;教育,jiào yù
"accept; receive (honors, etc.)",接受;接受,jiē shòu
continue; carry on; to catch; follow,接着;接著,jiē zhe
section; part; festival; moral integrity; save; (mw for class periods),节;節,jié
frugal; to save,节约;節約,jié yuē
result; outcome; finally,结果;結果,jié guǒ
to explain,解释;解釋,jiě shì
despite; although; even though | freely; without hesitation,尽管;盡管,jǐn guǎn
nervous; tension; strain,紧张;緊張,jǐn zhāng
carry on; carry out; undertake,进行;進行,jìn xíng
to ban; prohibit,禁止;禁止,jìn zhǐ
Beijing Opera,京剧;京劇,jīng jù
economy; economic,经济;經濟,jīng jì
undergo; to experience,经历;經曆,jīng lì
experience,经验;經驗,jīng yàn
brilliant; spectacular; wonderful,精彩;精彩,jīng cǎi
scenery; landscape; scene; view,景色;景色,jǐng sè
police,警察;警察,jǐng chá
compete,竞争;競爭,jìng zhēng
unexpectedly; to one's surprise; go so far as to,竟然;竟然,jìng rán
mirror,镜子;鏡子,jìng zi
after all; when all is said and done; actually,究竟;究竟,jiū jìng
lift; raise; cite,举;舉,jǔ
to conduct; to hold,举办;舉辦,jǔ bàn
"convene; to hold (a meeting, ceremony, etc.)",举行;舉行,jǔ xíng
to refuse; to decline; to reject,拒绝;拒絕,jù jué
distance; be apart; away from,距离;距離,jù lí
hold a meeting; get together; a party,聚会;聚會,jù huì
joke; play a joke; make fun of,开玩笑;開玩笑,kāi wán xiào
feel happy; have a great time; make fun of somebody,开心;開心,kāi xīn
point of view; opinion,看法;看法,kàn fǎ
think over; consider,考虑;考慮,kǎo lǜ
roast duck,烤鸭;烤鴨,kǎo yā
science; scientific knowledge,科学;科學,kē xué
(mw for plants),棵;棵,kē
to cough,咳嗽;咳嗽,ké sou
pitiful; poor; pathetic,可怜;可憐,kě lián
but; however,可是;可是,kě shì
it's a pity; regrettable; too bad,可惜;可惜,kě xī
living room; parlor,客厅;客廳,kè tīng
sure; definite; affirm; approve,肯定;肯定,kěn dìng
empty; sky | leave blank; leisure,空;空,kōng | kòng
air,空气;空氣,kōng qì
be afraid; to fear; I'm afraid that...,恐怕;恐怕,kǒng pà
bitter; miserable,苦;苦,kǔ
mineral water,矿泉水;礦泉水,kuàng quán shuǐ
sleepy; surround; hard-pressed,困;困,kùn
difficulty; difficult; problem,困难;困難,kùn nan
garbage can,垃圾桶;垃圾桶,lā jī tǒng
to pull; to play (string instruments); to drag,拉;拉,lā
hot (spicy),辣;辣,là
there's not enough time (to do something); it's too late,来不及;來不及,lái bu jí
there's still time,来得及;來得及,lái de jí
come from (a place),来自;來自,lái zì
lazy,懒;懶,lǎn
to waste; squander,浪费;浪費,làng fèi
romantic,浪漫;浪漫,làng màn
tiger,老虎;老虎,lǎo hǔ
calm; cool-headed; sober,冷静;冷靜,lěng jìng
Sunday,礼拜天;禮拜天,lǐ bài tiān
courtesy; politeness; manners,礼貌;禮貌,lǐ mào
"a barber, hairdressing; haircut",理发;理發,lǐ fà
comprehend; understand,理解;理解,lǐ jiě
ideal,理想;理想,lǐ xiǎng
physical strength; effort,力气;力氣,lì qi
terrible; formidable; fierce; cool; awesome,厉害;厲害,lì hai
for example; for instance,例如;例如,lì rú
(colloquial) two (people),俩;倆,liǎ
even; including; join,连;連,lián
integrate; link; connection; contact,联系;聯系,lián xì
nice and cool; pleasantly cool,凉快;涼快,liáng kuai
small change (of money),零钱;零錢,líng qián
another; in addition; besides,另外;另外,lìng wài
"to leave (behind, a message); to retain; to stay",留;留,liú
fluent,流利;流利,liú lì
spread; prevalent; be popular,流行;流行,liú xíng
travel,旅行;旅行,lǚ xíng
lawyer,律师;律師,lǜ shī
disorder; confusion; arbitrarily,乱;亂,luàn
trouble (someone); troubling; bothersome,麻烦;麻煩,má fan
careless; sloppy; casual,马虎;馬虎,mǎ hu
full; abbreviation for Manchurian,满;滿,mǎn
hair; fur; feather; dime (Kangxi radical 82),毛;毛,máo
towel; washcloth,毛巾;毛巾,máo jīn
beautiful,美丽;美麗,měi lì
to dream,梦;夢,mèng
to get lost,迷路;迷路,mí lù
password; secret code,密码;密碼,mì mǎ
free (of charge); no cost,免费;免費,miǎn fèi
second (unit of time or angle),秒;秒,miǎo
nationality; ethnic group,民族;民族,mín zú
mother,母亲;母親,mǔ qin
purpose; aim; goal,目的;目的,mù dì
to be patient,耐心;耐心,nài xīn
could it be that ...?; don't tell me ...,难道;難道,nán dào
feel unwell; to suffer pain,难受;難受,nán shòu
inside; inner; internal; within,内;內,nèi
content; substance; details,内容;內容,nèi róng
capability; capable; ability,能力;能力,néng lì
(a person's) age,年龄;年齡,nián líng
do; manage; to handle; make,弄;弄,nòng
warm; nice and warm,暖和;暖和,nuǎn huo
occasionally; once in a while; sometimes,偶尔;偶爾,ǒu ěr
queue; stand in line,排队;排隊,pái duì
arrange; align; permutation,排列;排列,pái liè
to judge; judgment; to decide,判断;判斷,pàn duàn
accompany; keep company,陪;陪,péi
criticize,批评;批評,pī píng
skin,皮肤;皮膚,pí fū
temperament; disposition; temper,脾气;脾氣,pí qi
sheet; (mw for articles); piece of writing,篇;篇,piān
to cheat; to swindle; deceive,骗;騙,piàn
ping pong; table tennis,乒乓球;乒乓球,pīng pāng qiú
ordinarily; in normal times; in peacetime,平时;平時,píng shí
broken; damaged; to split,破;破,pò
grape,葡萄;葡萄,pú tao
common; universal; general; widespread,普遍;普遍,pǔ biàn
Mandarin (common language),普通话;普通話,pǔ tōng huà
next; secondly,其次;其次,qí cì
among; in; included among these,其中;其中,qí zhōng
climate; atmosphere; weather,气候;氣候,qì hòu
ten million; be sure to; must,千万;千萬,qiān wàn
visa,签证;簽證,qiān zhèng
knock; blackmail,敲;敲,qiāo
bridge,桥;橋,qiáo
chocolate,巧克力;巧克力,qiǎo kè lì
a relative (i.e. family relation),亲戚;親戚,qīn qi
light; easy; gentle; soft,轻;輕,qīng
relaxed; gentle; easygoing,轻松;輕松,qīng sōng
circumstance; state of affairs; situation,情况;情況,qíng kuàng
poor; exhausted,穷;窮,qióng
difference; distinguish,区别;區別,qū bié
to take; get; choose,取;取,qǔ
whole; entire; complete,全部;全部,quán bù
weak point; defect; fault; shortcoming,缺点;缺點,quē diǎn
to lack; be short of; be deficient in,缺少;缺少,quē shǎo
but; yet; however,却;卻,què
indeed; in truth; reliable,确实;確實,què shí
however; yet; but,然而;然而,rán ér
bustling; lively; busy,热闹;熱鬧,rèn ao
any; whatever; whichever,任何;任何,rèn hé
a mission; an assignment; a task,任务;任務,rèn wu
to throw; throw away,扔;扔,rēng
still; yet,仍然;仍然,réng rán
diary,日记;日記,rì jì
entrance,入口;入口,rù kǒu
to go for a walk,散步;散步,sàn bù
forest,森林;森林,sēn lín
sofa,沙发;沙發,shā fā
sad; grieve; brokenhearted,伤心;傷心,shāng xīn
consult; talk over; discuss,商量;商量,shāng liang
a little bit; slightly,稍微;稍微,shāo wēi
spoon; scoop; ladle,勺子;勺子,sháo zi
society,社会;社會,shè huì
apply for; application,申请;申請,shēn qǐng
deep; profound; dark (of colors),深;深,shēn
even (to the point of); so much so that,甚至;甚至,shèn zhì
life; livelihood; to live,生活;生活,shēng huó
life,生命;生命,shēng mìng
business; trade,生意;生意,shēng yi
to save; economize; omit; province,省;省,shěng
have as remainder; be left over; surplus,剩;剩,shèng
be defeated; fail; lose,失败;失敗,shī bài
disappointed; lose hope,失望;失望,shī wàng
master; qualified worker; teacher,师傅;師傅,shī fu
very; fully; 100%,十分;十分,shí fēn
actual; reality; practice,实际;實際,shí jì
honest; in reality; honestly; indeed; certainly,实在;實在,shí zài
to use; to make; to cause; enable; envoy; messenger,使;使,shǐ
to use; employ; apply; administer; manipulate,使用;使用,shǐ yòng
century,世纪;世紀,shì jì
whether (or not); if,是否;是否,shì fǒu
to suit; to fit,适合;適合,shì hé
to suit; to fit; adapt,适应;適應,shì yìng
receive; accept; collect; to harvest,收;收,shōu
take in; income; revenue,收入;收入,shōu rù
to tidy; put in order; to repair; to settle with; punish,收拾;收拾,shōu shi
capital (city),首都;首都,shǒu dū
first (of all); in the first place; firstly,首先;首先,shǒu xiān
cannot endure; unbearable; can't stand,受不了;受不了,shòu bu liǎo
"receive (influence, restriction, etc.); be subjected to",受到;受到,shòu dào
salesclerk; shop assistant,售货员;售貨員,shòu huò yuán
"to transport; to lose (a game, etc.)",输;輸,shū
familiar with; know well,熟悉;熟悉,shú xī
amount; quantity; number,数量;數量,shù liàng
number; numeral; figure; digit,数字;數字,shù zì
handsome; graceful; commander-in-chief,帅;帥,shuài
conveniently; in passing; on the way,顺便;順便,shùn biàn
go smoothly; without a hitch; successful,顺利;順利,shùn lì
sequence; order,顺序;順序,shùn xù
explain; explanation; illustrate; to show,说明;說明,shuō míng
Master's degree (M.A.),硕士;碩士,shuò shì
to die; dead; fixed; impassible; extremely,死;死,sǐ
speed; rate; velocity,速度;速度,sù dù
plastic bag,塑料袋;塑料袋,sù liào dài
sour; sore; ache,酸;酸,suān
as one pleases; informal; random; casual,随便;隨便,suí biàn
along with; in the wake of,随着;隨著,suí zhe
grandson; son's son,孙子;孫子,sūn zi
all; to have; to possess,所有;所有,suǒ yǒu
platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters),台;台,tái
to lift; to raise (with both palms up); carry (together),抬;擡,tái
manner; bearing; attitude,态度;態度,tài du
to talk; to chat; discuss,谈;談,tán
play the piano,弹钢琴;彈鋼琴,tán gāng qín
soup; broth,汤;湯,tāng
sugar; candy; sweets,糖;糖,táng
recline; lie down (on back or side),躺;躺,tǎng
(mw for trips times) | to wade,趟;趟,tàng | tāng
to discuss; discussion; to talk over,讨论;討論,tǎo lùn
to hate; loathe; disgusting; troublesome,讨厌;討厭,tǎo yàn
a characteristic; trait; feature,特点;特點,tè diǎn
to carry; to lift; to raise (an issue),提;提,tí
to supply; provide; furnish,提供;提供,tí gōng
shift to an earlier date; bring forward; to advance,提前;提前,tí qián
remind; call attention to; warn of,提醒;提醒,tí xǐng
fill in the blanks; fill a vacancy,填空;填空,tián kòng
condition; circumstances; prerequisite,条件;條件,tiáo jiàn
to stop; to halt; to park (a car),停;停,tíng
straighten up; stick out; rather (good); very,挺;挺,tǐng
by means of; through (a method); pass through; via,通过;通過,tōng guò
notify; to inform; notice,通知;通知,tōng zhī
compassion; sympathy,同情;同情,tóng qíng
at the same time; simultaneously,同时;同時,tóng shí
to push; to scrape; to decline; postpone; elect,推;推,tuī
postpone; defer,推迟;推遲,tuī chí
to shed; take off; to escape,脱;脫,tuō
socks; stockings,袜子;襪子,wà zi
complete; whole; totally,完全;完全,wán quán
tennis; tennis ball,网球;網球,wǎng qiú
website,网站;網站,wǎng zhàn
often; frequently; more often than not,往往;往往,wǎng wǎng
danger; dangerous; perilous,危险;危險,wēi xiǎn
restroom; bathroom; water closet (WC),卫生间;衛生間,wèi shēng jiān
flavor; taste,味道;味道,wèi dao
temperature,温度;溫度,wēn dù
article; essay,文章;文章,wén zhāng
pollution; contamination,污染;汙染,wū rǎn
have not; without; not (Kangxi radical 71),无;無,wú
nonsense; bored; silly; stupid,无聊;無聊,wú liáo
no matter what; regardless of whether...,无论;無論,wú lùn
to misunderstand; to mistake,误会;誤會,wù huì
tomato,西红柿;西紅柿,xī hóng shì
"attract (interest, investment, etc.)",吸引;吸引,xī yǐn
salty; salted; all,咸;鹹,xián
cash,现金;現金,xiàn jīn
to envy; admire,羡慕;羨慕,xiàn mù
opposite; contrary,相反;相反,xiāng fǎn
identical; same; alike,相同;相同,xiāng tóng
fragrant; savory (Kangxi radical 186),香;香,xiāng
detailed; in detail; minute,详细;詳細,xiáng xì
make a sound; to ring; echo,响;響,xiǎng
rubber; an eraser,橡皮;橡皮,xiàng pí
news; information,消息;消息,xiāo xi
snack; refreshments,小吃;小吃,xiǎo chī
young man; lad; youngster,小伙子;小夥子,xiǎo huǒ zi
novel; fiction,小说;小說,xiǎo shuō
joke; laugh at,笑话;笑話,xiào hua
effect; result,效果;效果,xiào guǒ
mood; state of mind,心情;心情,xīn qíng
hard; exhausting; toilsome; laborious,辛苦;辛苦,xīn kǔ
envelope,信封;信封,xìn fēng
information; news; message,信息;信息,xìn xī
confidence; faith (in sb. or sth.),信心;信心,xìn xīn
excitement； be excited,兴奋;興奮,xīng fèn
walk; be current; do; will do; okay,行;行,xíng
wake up,醒;醒,xǐng
happy; blessed; fortunate,幸福;幸福,xìng fú
gender; sex; sexual distinction,性别;性別,xìng bié
nature; personality; temperament,性格;性格,xìng gé
to repair; perform maintenance; to overhaul,修理;修理,xiū lǐ
many; a lot; much,许多;許多,xǔ duō
semester; school term,学期;學期,xué qī
pressure; stress,压力;壓力,yā lì
"ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)",呀;呀,ya
toothpaste,牙膏;牙膏,yá gāo
Asia,亚洲;亞洲,yà zhōu
strict; stringent; tight,严格;嚴格,yáng é
grave; serious; critical,严重;嚴重,yán zhòng
to study; to research,研究;研究,yán jiū
salt,盐;鹽,yán
glasses; spectacles,眼镜;眼鏡,yǎn jìng
to act (in a play); to perform; to put on a show; performance,演出;演出,yǎn chū
actor or actress; performer,演员;演員,yǎn yuán
sunshine; sunlight,阳光;陽光,yáng guāng
cultivate; acquire; to form,养成;養成,yǎng chéng
manner; air; appearance; looks,样子;樣子,yàng zi
to invite,邀请;邀請,yāo qǐng
if; suppose; in case,要是;要是,yào shi
key,钥匙;鑰匙,yào shi
perhaps; probably; maybe,也许;也許,yě xǔ
leaves,叶子;葉子,yè zi
page; leaf (Kangxi radical 181),页;頁,yè
all; every; everything,一切;一切,yí qiè
to use; according to; so as to; for; by,以;以,yǐ
think (mistakenly); consider (that); believe,以为;以爲,yǐ wéi
art,艺术;藝術,yì shù
opinion; view; suggestion; complaint,意见;意見,yì jiàn
therefore; thus; that is why; because of this,因此;因此,yīn cǐ
give rise to; lead to; to cause; arouse,引起;引起,yǐn qǐ
impression,印象;印象,yìn xiàng
to win; to beat; to profit,赢;贏,yíng
accept a job offer; to apply for a job,应聘;應聘,yìng pìn
forever; eternal; always,永远;永遠,yǒng yuǎn
brave; courageous,勇敢;勇敢,yǒng gǎn
merit; good point; a strength; a benefit,优点;優點,yōu diǎn
outstanding; excellent,优秀;優秀,yōu xiù
humorous,幽默;幽默,yōu mò
especially; particularly,尤其;尤其,yóu qí
follow; from; by; through,由;由,yóu
due to; owing to; as a result of; thanks to,由于;由于,yóu yú
post office,邮局;郵局,yóu jú
friendly (relations); close friends,友好;友好,yǒu hǎo
friendship; companionship,友谊;友誼,yǒu yì
interesting; fascinating; amusing,有趣;有趣,yǒu qù
as a result; thus; therefore,于是;于是,yú shì
happy; cheerful; delightful,愉快;愉快,yú kuài
(formal) and; to give; together with; participate; final particle expressing doubt or surprise,与;與,yǔ
badminton,羽毛球;羽毛球,yǔ máo qiú
grammar,语法;語法,yǔ fǎ
language,语言;語言,yǔ yán
(of students) prepare a lesson before class; preview,预习;預習,yù xí
original; former; as it turns out,原来;原來,yuán lái
to excuse; forgive; to pardon,原谅;原諒,yuán liàng
cause; reason,原因;原因,yuán yīn
appointment; engagement; date,约会;約會,yuē huì
read; reading,阅读;閱讀,yuè dú
cloud; Yunnan province | say; speak,云;雲,yún
to permit; allow,允许;允許,yǔn xǔ
magazine,杂志;雜志,zá zhì
we (including the listener); us; our,咱们;咱們,zán men
temporary; transient; for the moment,暂时;暫時,zàn shí
filthy; dirty,脏;髒,zāng
responsibility; blame; duty,责任;責任,zé rèn
to increase; to raise; add,增加;增加,zēng jiā
the (phone) line is busy,占线;占線,zhàn xiàn
recruitment; take job applications for a job,招聘;招聘,zhāo pìn
to shine; illuminate; according to,照;照,zhào
genuine; real; true,真正;真正,zhēn zhèng
put in order; arrange; straighten up; to tidy; to pack (luggage),整理;整理,zhěng lǐ
normal; regular; ordinary,正常;正常,zhèng cháng
just (in time); just right; just enough; happen to; by chance,正好;正好,zhèng hǎo
correct; proper,正确;正確,zhèng què
formal; official,正式;正式,zhèng shì
proof; testify; confirm; certificate,证明;證明,zhèng míng
(literary equivalent to 的); (pronoun); of,之;之,zhī
sustain; hold out; | support; stand by (e.g. international support),支持;支持,zhī chí
knowledge; intellectual,知识;知識,zhī shi
direct; immediate,直接;直接,zhí jiē
be worth; deserve,值得;值得,zhí de
profession; occupation,职业;職業,zhí yè
plant; botanical; vegetation,植物;植物,zhí wù
have to; be forced to,只好;只好,zhǐ hǎo
so long as; if only; provided that,只要;只要,zhǐ yào
"finger; to point (at, to, out); refer to",指;指,zhǐ
at least; (to say the) least,至少;至少,zhì shǎo
quality; mass (physics),质量;質量,zhì liàng
heavy; serious; important,重;重,zhòng
emphasis; main point,重点;重點,zhòng diǎn
to value; take seriously,重视;重視,zhòng shì
surroundings; vicinity; environment,周围;周圍,zhōu wéi
plan; idea; decision,主意;主意,zhǔ yi
congratulate,祝贺;祝賀,zhù hè
famous; well-known; celebration,著名;著名,zhù míng
specialized,专门;專門,zhuān mén
profession; specialized field of study; major,专业;專業,zhuān yè
to turn; to change; pass on | revolve; rotate,转;轉,zhuǎn | zhuàn
earn; make a profit,赚;賺,zhuàn
accurate; precise,准确;准確,zhǔn què
punctually; on time,准时;准時,zhǔn shí
careful; attentive; cautious,仔细;仔細,zǐ xì
nature; natural,自然;自然,zì rán
self-confidence,自信;自信,zì xìn
summarize; conclude,总结;總結,zǒng jié
to rent,租;租,zū
the best; had better ...; it would be best,最好;最好,zuì hǎo
esteem; to respect; to value; to honor,尊重;尊重,zūn zhòng
about; approximate; around | left and right,左右;左右,zuǒ yòu
author; writer,作家;作家,zuò jiā
action; activity; effect,作用;作用,zuò yòng
author; writer,作者;作者,zuò zhě
"(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand; constellation",座;座,zuò
seat; place,座位;座位,zuò wèi
