Date:  21:52, Saturday, February 08, 2020
Model name:Cantilever
Study name:Static 1(-Default-)
Plot type: Static displacement Displacement1
Result Type: URES 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)
13  ,1.421e-01   ,2.8098E-16  ,6  ,0
14  ,1.303e-01   ,2.8098E-16  ,6  ,1.5385
15  ,1.242e-01   ,2.8098E-16  ,6  ,3.0769
16  ,1.224e-01   ,2.8098E-16  ,6  ,4.6154
17  ,1.221e-01   ,2.8098E-16  ,6  ,6.1538
18  ,1.216e-01   ,2.8098E-16  ,6  ,7.6923
19  ,1.210e-01   ,2.8098E-16  ,6  ,9.2308
20  ,1.209e-01   ,2.8098E-16  ,6  ,10.769
21  ,1.213e-01   ,2.8098E-16  ,6  ,12.308
22  ,1.216e-01   ,2.8098E-16  ,6  ,13.846
23  ,1.222e-01   ,2.8098E-16  ,6  ,15.385
24  ,1.235e-01   ,2.8098E-16  ,6  ,16.923
25  ,1.298e-01   ,2.8098E-16  ,6  ,18.462
26  ,1.437e-01   ,2.8098E-16  ,6  ,20
172  ,2.149e-01   ,-1.5556  ,6  ,0
173  ,2.763e-01   ,-3.1111  ,6  ,0
174  ,3.471e-01   ,-4.6667  ,6  ,0
175  ,4.287e-01   ,-6.2222  ,6  ,0
176  ,5.216e-01   ,-7.7778  ,6  ,0
177  ,6.258e-01   ,-9.3333  ,6  ,0
178  ,7.410e-01   ,-10.889  ,6  ,0
179  ,8.672e-01   ,-12.444  ,6  ,0
180  ,1.004e+00   ,-14  ,6  ,0
181  ,1.151e+00   ,-15.556  ,6  ,0
182  ,1.308e+00   ,-17.111  ,6  ,0
183  ,1.475e+00   ,-18.667  ,6  ,0
184  ,1.651e+00   ,-20.222  ,6  ,0
185  ,1.836e+00   ,-21.778  ,6  ,0
186  ,2.030e+00   ,-23.333  ,6  ,0
187  ,2.233e+00   ,-24.889  ,6  ,0
188  ,2.444e+00   ,-26.444  ,6  ,0
189  ,2.663e+00   ,-28  ,6  ,0
190  ,2.890e+00   ,-29.556  ,6  ,0
191  ,3.124e+00   ,-31.111  ,6  ,0
192  ,3.365e+00   ,-32.667  ,6  ,0
193  ,3.613e+00   ,-34.222  ,6  ,0
194  ,3.868e+00   ,-35.778  ,6  ,0
195  ,4.129e+00   ,-37.333  ,6  ,0
196  ,4.396e+00   ,-38.889  ,6  ,0
197  ,4.668e+00   ,-40.444  ,6  ,0
198  ,4.946e+00   ,-42  ,6  ,0
199  ,5.230e+00   ,-43.556  ,6  ,0
200  ,5.518e+00   ,-45.111  ,6  ,0
201  ,5.811e+00   ,-46.667  ,6  ,0
202  ,6.108e+00   ,-48.222  ,6  ,0
203  ,6.409e+00   ,-49.778  ,6  ,0
204  ,6.713e+00   ,-51.333  ,6  ,0
205  ,7.022e+00   ,-52.889  ,6  ,0
206  ,7.333e+00   ,-54.444  ,6  ,0
207  ,7.647e+00   ,-56  ,6  ,0
208  ,7.964e+00   ,-57.556  ,6  ,0
209  ,8.283e+00   ,-59.111  ,6  ,0
210  ,8.604e+00   ,-60.667  ,6  ,0
211  ,8.927e+00   ,-62.222  ,6  ,0
212  ,9.251e+00   ,-63.778  ,6  ,0
213  ,9.578e+00   ,-65.333  ,6  ,0
214  ,9.907e+00   ,-66.889  ,6  ,0
215  ,1.025e+01   ,-68.444  ,6  ,0
216  ,1.067e+01   ,-70  ,6  ,0
217  ,1.064e+01   ,-70  ,6  ,1.5385
218  ,1.064e+01   ,-70  ,6  ,3.0769
219  ,1.064e+01   ,-70  ,6  ,4.6154
220  ,1.064e+01   ,-70  ,6  ,6.1538
221  ,1.064e+01   ,-70  ,6  ,7.6923
222  ,1.064e+01   ,-70  ,6  ,9.2308
223  ,1.064e+01   ,-70  ,6  ,10.769
224  ,1.064e+01   ,-70  ,6  ,12.308
225  ,1.064e+01   ,-70  ,6  ,13.846
226  ,1.064e+01   ,-70  ,6  ,15.385
227  ,1.064e+01   ,-70  ,6  ,16.923
228  ,1.064e+01   ,-70  ,6  ,18.462
229  ,1.066e+01   ,-70  ,6  ,20
230  ,1.025e+01   ,-68.444  ,6  ,20
231  ,9.907e+00   ,-66.889  ,6  ,20
232  ,9.577e+00   ,-65.333  ,6  ,20
233  ,9.251e+00   ,-63.778  ,6  ,20
234  ,8.927e+00   ,-62.222  ,6  ,20
235  ,8.604e+00   ,-60.667  ,6  ,20
236  ,8.283e+00   ,-59.111  ,6  ,20
237  ,7.964e+00   ,-57.556  ,6  ,20
238  ,7.647e+00   ,-56  ,6  ,20
239  ,7.333e+00   ,-54.444  ,6  ,20
240  ,7.021e+00   ,-52.889  ,6  ,20
241  ,6.713e+00   ,-51.333  ,6  ,20
242  ,6.408e+00   ,-49.778  ,6  ,20
243  ,6.107e+00   ,-48.222  ,6  ,20
244  ,5.810e+00   ,-46.667  ,6  ,20
245  ,5.517e+00   ,-45.111  ,6  ,20
246  ,5.229e+00   ,-43.556  ,6  ,20
247  ,4.946e+00   ,-42  ,6  ,20
248  ,4.668e+00   ,-40.444  ,6  ,20
249  ,4.395e+00   ,-38.889  ,6  ,20
250  ,4.128e+00   ,-37.333  ,6  ,20
251  ,3.867e+00   ,-35.778  ,6  ,20
252  ,3.613e+00   ,-34.222  ,6  ,20
253  ,3.365e+00   ,-32.667  ,6  ,20
254  ,3.123e+00   ,-31.111  ,6  ,20
255  ,2.889e+00   ,-29.556  ,6  ,20
256  ,2.663e+00   ,-28  ,6  ,20
257  ,2.444e+00   ,-26.444  ,6  ,20
258  ,2.233e+00   ,-24.889  ,6  ,20
259  ,2.030e+00   ,-23.333  ,6  ,20
260  ,1.836e+00   ,-21.778  ,6  ,20
261  ,1.651e+00   ,-20.222  ,6  ,20
262  ,1.474e+00   ,-18.667  ,6  ,20
263  ,1.308e+00   ,-17.111  ,6  ,20
264  ,1.151e+00   ,-15.556  ,6  ,20
265  ,1.004e+00   ,-14  ,6  ,20
266  ,8.671e-01   ,-12.444  ,6  ,20
267  ,7.410e-01   ,-10.889  ,6  ,20
268  ,6.257e-01   ,-9.3333  ,6  ,20
269  ,5.216e-01   ,-7.7778  ,6  ,20
270  ,4.287e-01   ,-6.2222  ,6  ,20
271  ,3.471e-01   ,-4.6667  ,6  ,20
272  ,2.764e-01   ,-3.1111  ,6  ,20
273  ,2.151e-01   ,-1.5556  ,6  ,20
274  ,3.752e+00   ,-35  ,6  ,1.5385
275  ,3.761e+00   ,-35  ,6  ,3.0769
276  ,3.769e+00   ,-35  ,6  ,4.6154
277  ,3.775e+00   ,-35  ,6  ,6.1538
278  ,3.778e+00   ,-35  ,6  ,7.6923
279  ,3.780e+00   ,-35  ,6  ,9.2308
280  ,3.780e+00   ,-35  ,6  ,10.769
281  ,3.778e+00   ,-35  ,6  ,12.308
282  ,3.774e+00   ,-35  ,6  ,13.846
283  ,3.769e+00   ,-35  ,6  ,15.385
284  ,3.761e+00   ,-35  ,6  ,16.923
285  ,3.751e+00   ,-35  ,6  ,18.462
286  ,3.501e+00   ,-33.444  ,6  ,1.5385
287  ,3.511e+00   ,-33.444  ,6  ,3.0769
288  ,3.519e+00   ,-33.444  ,6  ,4.6154
289  ,3.524e+00   ,-33.444  ,6  ,6.1538
290  ,3.528e+00   ,-33.444  ,6  ,7.6923
291  ,3.530e+00   ,-33.444  ,6  ,9.2308
292  ,3.530e+00   ,-33.444  ,6  ,10.769
293  ,3.528e+00   ,-33.444  ,6  ,12.308
294  ,3.524e+00   ,-33.444  ,6  ,13.846
295  ,3.518e+00   ,-33.444  ,6  ,15.385
296  ,3.510e+00   ,-33.444  ,6  ,16.923
297  ,3.500e+00   ,-33.444  ,6  ,18.462
298  ,3.256e+00   ,-31.889  ,6  ,1.5385
299  ,3.267e+00   ,-31.889  ,6  ,3.0769
300  ,3.275e+00   ,-31.889  ,6  ,4.6154
301  ,3.281e+00   ,-31.889  ,6  ,6.1538
302  ,3.285e+00   ,-31.889  ,6  ,7.6923
303  ,3.287e+00   ,-31.889  ,6  ,9.2308
304  ,3.287e+00   ,-31.889  ,6  ,10.769
305  ,3.285e+00   ,-31.889  ,6  ,12.308
306  ,3.281e+00   ,-31.889  ,6  ,13.846
307  ,3.275e+00   ,-31.889  ,6  ,15.385
308  ,3.267e+00   ,-31.889  ,6  ,16.923
309  ,3.256e+00   ,-31.889  ,6  ,18.462
310  ,3.019e+00   ,-30.333  ,6  ,1.5385
311  ,3.030e+00   ,-30.333  ,6  ,3.0769
312  ,3.038e+00   ,-30.333  ,6  ,4.6154
313  ,3.045e+00   ,-30.333  ,6  ,6.1538
314  ,3.049e+00   ,-30.333  ,6  ,7.6923
315  ,3.051e+00   ,-30.333  ,6  ,9.2308
316  ,3.051e+00   ,-30.333  ,6  ,10.769
317  ,3.049e+00   ,-30.333  ,6  ,12.308
318  ,3.044e+00   ,-30.333  ,6  ,13.846
319  ,3.038e+00   ,-30.333  ,6  ,15.385
320  ,3.030e+00   ,-30.333  ,6  ,16.923
321  ,3.019e+00   ,-30.333  ,6  ,18.462
322  ,2.789e+00   ,-28.778  ,6  ,1.5385
323  ,2.800e+00   ,-28.778  ,6  ,3.0769
324  ,2.809e+00   ,-28.778  ,6  ,4.6154
325  ,2.815e+00   ,-28.778  ,6  ,6.1538
326  ,2.820e+00   ,-28.778  ,6  ,7.6923
327  ,2.822e+00   ,-28.778  ,6  ,9.2308
328  ,2.822e+00   ,-28.778  ,6  ,10.769
329  ,2.819e+00   ,-28.778  ,6  ,12.308
330  ,2.815e+00   ,-28.778  ,6  ,13.846
331  ,2.809e+00   ,-28.778  ,6  ,15.385
332  ,2.800e+00   ,-28.778  ,6  ,16.923
333  ,2.789e+00   ,-28.778  ,6  ,18.462
334  ,2.566e+00   ,-27.222  ,6  ,1.5385
335  ,2.578e+00   ,-27.222  ,6  ,3.0769
336  ,2.587e+00   ,-27.222  ,6  ,4.6154
337  ,2.593e+00   ,-27.222  ,6  ,6.1538
338  ,2.598e+00   ,-27.222  ,6  ,7.6923
339  ,2.600e+00   ,-27.222  ,6  ,9.2308
340  ,2.600e+00   ,-27.222  ,6  ,10.769
341  ,2.598e+00   ,-27.222  ,6  ,12.308
342  ,2.593e+00   ,-27.222  ,6  ,13.846
343  ,2.587e+00   ,-27.222  ,6  ,15.385
344  ,2.578e+00   ,-27.222  ,6  ,16.923
345  ,2.566e+00   ,-27.222  ,6  ,18.462
346  ,2.352e+00   ,-25.667  ,6  ,1.5385
347  ,2.363e+00   ,-25.667  ,6  ,3.0769
348  ,2.373e+00   ,-25.667  ,6  ,4.6154
349  ,2.379e+00   ,-25.667  ,6  ,6.1538
350  ,2.384e+00   ,-25.667  ,6  ,7.6923
351  ,2.386e+00   ,-25.667  ,6  ,9.2308
352  ,2.386e+00   ,-25.667  ,6  ,10.769
353  ,2.384e+00   ,-25.667  ,6  ,12.308
354  ,2.379e+00   ,-25.667  ,6  ,13.846
355  ,2.373e+00   ,-25.667  ,6  ,15.385
356  ,2.363e+00   ,-25.667  ,6  ,16.923
357  ,2.352e+00   ,-25.667  ,6  ,18.462
358  ,2.145e+00   ,-24.111  ,6  ,1.5385
359  ,2.157e+00   ,-24.111  ,6  ,3.0769
360  ,2.167e+00   ,-24.111  ,6  ,4.6154
361  ,2.174e+00   ,-24.111  ,6  ,6.1538
362  ,2.178e+00   ,-24.111  ,6  ,7.6923
363  ,2.180e+00   ,-24.111  ,6  ,9.2308
364  ,2.180e+00   ,-24.111  ,6  ,10.769
365  ,2.178e+00   ,-24.111  ,6  ,12.308
366  ,2.173e+00   ,-24.111  ,6  ,13.846
367  ,2.166e+00   ,-24.111  ,6  ,15.385
368  ,2.157e+00   ,-24.111  ,6  ,16.923
369  ,2.145e+00   ,-24.111  ,6  ,18.462
370  ,1.947e+00   ,-22.556  ,6  ,1.5385
371  ,1.959e+00   ,-22.556  ,6  ,3.0769
372  ,1.969e+00   ,-22.556  ,6  ,4.6154
373  ,1.976e+00   ,-22.556  ,6  ,6.1538
374  ,1.981e+00   ,-22.556  ,6  ,7.6923
375  ,1.983e+00   ,-22.556  ,6  ,9.2308
376  ,1.983e+00   ,-22.556  ,6  ,10.769
377  ,1.981e+00   ,-22.556  ,6  ,12.308
378  ,1.976e+00   ,-22.556  ,6  ,13.846
379  ,1.969e+00   ,-22.556  ,6  ,15.385
380  ,1.959e+00   ,-22.556  ,6  ,16.923
381  ,1.947e+00   ,-22.556  ,6  ,18.462
382  ,1.757e+00   ,-21  ,6  ,1.5385
383  ,1.770e+00   ,-21  ,6  ,3.0769
384  ,1.780e+00   ,-21  ,6  ,4.6154
385  ,1.787e+00   ,-21  ,6  ,6.1538
386  ,1.791e+00   ,-21  ,6  ,7.6923
387  ,1.794e+00   ,-21  ,6  ,9.2308
388  ,1.794e+00   ,-21  ,6  ,10.769
389  ,1.791e+00   ,-21  ,6  ,12.308
390  ,1.787e+00   ,-21  ,6  ,13.846
391  ,1.779e+00   ,-21  ,6  ,15.385
392  ,1.770e+00   ,-21  ,6  ,16.923
393  ,1.757e+00   ,-21  ,6  ,18.462
394  ,1.577e+00   ,-19.444  ,6  ,1.5385
395  ,1.589e+00   ,-19.444  ,6  ,3.0769
396  ,1.599e+00   ,-19.444  ,6  ,4.6154
397  ,1.606e+00   ,-19.444  ,6  ,6.1538
398  ,1.611e+00   ,-19.444  ,6  ,7.6923
399  ,1.614e+00   ,-19.444  ,6  ,9.2308
400  ,1.614e+00   ,-19.444  ,6  ,10.769
401  ,1.611e+00   ,-19.444  ,6  ,12.308
402  ,1.606e+00   ,-19.444  ,6  ,13.846
403  ,1.599e+00   ,-19.444  ,6  ,15.385
404  ,1.589e+00   ,-19.444  ,6  ,16.923
405  ,1.577e+00   ,-19.444  ,6  ,18.462
406  ,1.405e+00   ,-17.889  ,6  ,1.5385
407  ,1.418e+00   ,-17.889  ,6  ,3.0769
408  ,1.428e+00   ,-17.889  ,6  ,4.6154
409  ,1.435e+00   ,-17.889  ,6  ,6.1538
410  ,1.440e+00   ,-17.889  ,6  ,7.6923
411  ,1.442e+00   ,-17.889  ,6  ,9.2308
412  ,1.442e+00   ,-17.889  ,6  ,10.769
413  ,1.440e+00   ,-17.889  ,6  ,12.308
414  ,1.435e+00   ,-17.889  ,6  ,13.846
415  ,1.428e+00   ,-17.889  ,6  ,15.385
416  ,1.418e+00   ,-17.889  ,6  ,16.923
417  ,1.405e+00   ,-17.889  ,6  ,18.462
418  ,1.244e+00   ,-16.333  ,6  ,1.5385
419  ,1.256e+00   ,-16.333  ,6  ,3.0769
420  ,1.266e+00   ,-16.333  ,6  ,4.6154
421  ,1.273e+00   ,-16.333  ,6  ,6.1538
422  ,1.278e+00   ,-16.333  ,6  ,7.6923
423  ,1.280e+00   ,-16.333  ,6  ,9.2308
424  ,1.280e+00   ,-16.333  ,6  ,10.769
425  ,1.278e+00   ,-16.333  ,6  ,12.308
426  ,1.273e+00   ,-16.333  ,6  ,13.846
427  ,1.266e+00   ,-16.333  ,6  ,15.385
428  ,1.256e+00   ,-16.333  ,6  ,16.923
429  ,1.243e+00   ,-16.333  ,6  ,18.462
430  ,1.091e+00   ,-14.778  ,6  ,1.5385
431  ,1.104e+00   ,-14.778  ,6  ,3.0769
432  ,1.113e+00   ,-14.778  ,6  ,4.6154
433  ,1.121e+00   ,-14.778  ,6  ,6.1538
434  ,1.125e+00   ,-14.778  ,6  ,7.6923
435  ,1.128e+00   ,-14.778  ,6  ,9.2308
436  ,1.128e+00   ,-14.778  ,6  ,10.769
437  ,1.125e+00   ,-14.778  ,6  ,12.308
438  ,1.121e+00   ,-14.778  ,6  ,13.846
439  ,1.113e+00   ,-14.778  ,6  ,15.385
440  ,1.104e+00   ,-14.778  ,6  ,16.923
441  ,1.091e+00   ,-14.778  ,6  ,18.462
442  ,9.491e-01   ,-13.222  ,6  ,1.5385
443  ,9.612e-01   ,-13.222  ,6  ,3.0769
444  ,9.707e-01   ,-13.222  ,6  ,4.6154
445  ,9.777e-01   ,-13.222  ,6  ,6.1538
446  ,9.824e-01   ,-13.222  ,6  ,7.6923
447  ,9.847e-01   ,-13.222  ,6  ,9.2308
448  ,9.847e-01   ,-13.222  ,6  ,10.769
449  ,9.823e-01   ,-13.222  ,6  ,12.308
450  ,9.777e-01   ,-13.222  ,6  ,13.846
451  ,9.706e-01   ,-13.222  ,6  ,15.385
452  ,9.611e-01   ,-13.222  ,6  ,16.923
453  ,9.490e-01   ,-13.222  ,6  ,18.462
454  ,8.171e-01   ,-11.667  ,6  ,1.5385
455  ,8.287e-01   ,-11.667  ,6  ,3.0769
456  ,8.378e-01   ,-11.667  ,6  ,4.6154
457  ,8.446e-01   ,-11.667  ,6  ,6.1538
458  ,8.491e-01   ,-11.667  ,6  ,7.6923
459  ,8.513e-01   ,-11.667  ,6  ,9.2308
460  ,8.513e-01   ,-11.667  ,6  ,10.769
461  ,8.491e-01   ,-11.667  ,6  ,12.308
462  ,8.446e-01   ,-11.667  ,6  ,13.846
463  ,8.378e-01   ,-11.667  ,6  ,15.385
464  ,8.286e-01   ,-11.667  ,6  ,16.923
465  ,8.170e-01   ,-11.667  ,6  ,18.462
466  ,6.954e-01   ,-10.111  ,6  ,1.5385
467  ,7.064e-01   ,-10.111  ,6  ,3.0769
468  ,7.150e-01   ,-10.111  ,6  ,4.6154
469  ,7.214e-01   ,-10.111  ,6  ,6.1538
470  ,7.256e-01   ,-10.111  ,6  ,7.6923
471  ,7.277e-01   ,-10.111  ,6  ,9.2308
472  ,7.277e-01   ,-10.111  ,6  ,10.769
473  ,7.256e-01   ,-10.111  ,6  ,12.308
474  ,7.213e-01   ,-10.111  ,6  ,13.846
475  ,7.149e-01   ,-10.111  ,6  ,15.385
476  ,7.063e-01   ,-10.111  ,6  ,16.923
477  ,6.954e-01   ,-10.111  ,6  ,18.462
478  ,5.844e-01   ,-8.5556  ,6  ,1.5385
479  ,5.943e-01   ,-8.5556  ,6  ,3.0769
480  ,6.022e-01   ,-8.5556  ,6  ,4.6154
481  ,6.080e-01   ,-8.5556  ,6  ,6.1538
482  ,6.119e-01   ,-8.5556  ,6  ,7.6923
483  ,6.138e-01   ,-8.5556  ,6  ,9.2308
484  ,6.138e-01   ,-8.5556  ,6  ,10.769
485  ,6.118e-01   ,-8.5556  ,6  ,12.308
486  ,6.080e-01   ,-8.5556  ,6  ,13.846
487  ,6.021e-01   ,-8.5556  ,6  ,15.385
488  ,5.943e-01   ,-8.5556  ,6  ,16.923
489  ,5.844e-01   ,-8.5556  ,6  ,18.462
490  ,4.840e-01   ,-7  ,6  ,1.5385
491  ,4.925e-01   ,-7  ,6  ,3.0769
492  ,4.993e-01   ,-7  ,6  ,4.6154
493  ,5.044e-01   ,-7  ,6  ,6.1538
494  ,5.078e-01   ,-7  ,6  ,7.6923
495  ,5.095e-01   ,-7  ,6  ,9.2308
496  ,5.095e-01   ,-7  ,6  ,10.769
497  ,5.078e-01   ,-7  ,6  ,12.308
498  ,5.044e-01   ,-7  ,6  ,13.846
499  ,4.993e-01   ,-7  ,6  ,15.385
500  ,4.925e-01   ,-7  ,6  ,16.923
501  ,4.840e-01   ,-7  ,6  ,18.462
502  ,3.941e-01   ,-5.4444  ,6  ,1.5385
503  ,4.007e-01   ,-5.4444  ,6  ,3.0769
504  ,4.061e-01   ,-5.4444  ,6  ,4.6154
505  ,4.103e-01   ,-5.4444  ,6  ,6.1538
506  ,4.132e-01   ,-5.4444  ,6  ,7.6923
507  ,4.146e-01   ,-5.4444  ,6  ,9.2308
508  ,4.146e-01   ,-5.4444  ,6  ,10.769
509  ,4.132e-01   ,-5.4444  ,6  ,12.308
510  ,4.103e-01   ,-5.4444  ,6  ,13.846
511  ,4.062e-01   ,-5.4444  ,6  ,15.385
512  ,4.007e-01   ,-5.4444  ,6  ,16.923
513  ,3.942e-01   ,-5.4444  ,6  ,18.462
514  ,3.144e-01   ,-3.8889  ,6  ,1.5385
515  ,3.184e-01   ,-3.8889  ,6  ,3.0769
516  ,3.221e-01   ,-3.8889  ,6  ,4.6154
517  ,3.252e-01   ,-3.8889  ,6  ,6.1538
518  ,3.277e-01   ,-3.8889  ,6  ,7.6923
519  ,3.286e-01   ,-3.8889  ,6  ,9.2308
520  ,3.286e-01   ,-3.8889  ,6  ,10.769
521  ,3.275e-01   ,-3.8889  ,6  ,12.308
522  ,3.252e-01   ,-3.8889  ,6  ,13.846
523  ,3.221e-01   ,-3.8889  ,6  ,15.385
524  ,3.185e-01   ,-3.8889  ,6  ,16.923
525  ,3.145e-01   ,-3.8889  ,6  ,18.462
526  ,2.427e-01   ,-2.3333  ,6  ,1.5385
527  ,2.438e-01   ,-2.3333  ,6  ,3.0769
528  ,2.455e-01   ,-2.3333  ,6  ,4.6154
529  ,2.473e-01   ,-2.3333  ,6  ,6.1538
530  ,2.488e-01   ,-2.3333  ,6  ,7.6923
531  ,2.492e-01   ,-2.3333  ,6  ,9.2308
532  ,2.492e-01   ,-2.3333  ,6  ,10.769
533  ,2.487e-01   ,-2.3333  ,6  ,12.308
534  ,2.471e-01   ,-2.3333  ,6  ,13.846
535  ,2.456e-01   ,-2.3333  ,6  ,15.385
536  ,2.441e-01   ,-2.3333  ,6  ,16.923
537  ,2.433e-01   ,-2.3333  ,6  ,18.462
538  ,4.009e+00   ,-36.556  ,6  ,1.5385
539  ,4.018e+00   ,-36.556  ,6  ,3.0769
540  ,4.026e+00   ,-36.556  ,6  ,4.6154
541  ,4.031e+00   ,-36.556  ,6  ,6.1538
542  ,4.035e+00   ,-36.556  ,6  ,7.6923
543  ,4.036e+00   ,-36.556  ,6  ,9.2308
544  ,4.036e+00   ,-36.556  ,6  ,10.769
545  ,4.035e+00   ,-36.556  ,6  ,12.308
546  ,4.031e+00   ,-36.556  ,6  ,13.846
547  ,4.025e+00   ,-36.556  ,6  ,15.385
548  ,4.018e+00   ,-36.556  ,6  ,16.923
549  ,4.009e+00   ,-36.556  ,6  ,18.462
550  ,4.272e+00   ,-38.111  ,6  ,1.5385
551  ,4.281e+00   ,-38.111  ,6  ,3.0769
552  ,4.288e+00   ,-38.111  ,6  ,4.6154
553  ,4.294e+00   ,-38.111  ,6  ,6.1538
554  ,4.297e+00   ,-38.111  ,6  ,7.6923
555  ,4.299e+00   ,-38.111  ,6  ,9.2308
556  ,4.299e+00   ,-38.111  ,6  ,10.769
557  ,4.297e+00   ,-38.111  ,6  ,12.308
558  ,4.294e+00   ,-38.111  ,6  ,13.846
559  ,4.288e+00   ,-38.111  ,6  ,15.385
560  ,4.281e+00   ,-38.111  ,6  ,16.923
561  ,4.272e+00   ,-38.111  ,6  ,18.462
562  ,4.542e+00   ,-39.667  ,6  ,1.5385
563  ,4.550e+00   ,-39.667  ,6  ,3.0769
564  ,4.557e+00   ,-39.667  ,6  ,4.6154
565  ,4.562e+00   ,-39.667  ,6  ,6.1538
566  ,4.565e+00   ,-39.667  ,6  ,7.6923
567  ,4.567e+00   ,-39.667  ,6  ,9.2308
568  ,4.567e+00   ,-39.667  ,6  ,10.769
569  ,4.565e+00   ,-39.667  ,6  ,12.308
570  ,4.562e+00   ,-39.667  ,6  ,13.846
571  ,4.557e+00   ,-39.667  ,6  ,15.385
572  ,4.550e+00   ,-39.667  ,6  ,16.923
573  ,4.542e+00   ,-39.667  ,6  ,18.462
574  ,4.817e+00   ,-41.222  ,6  ,1.5385
575  ,4.825e+00   ,-41.222  ,6  ,3.0769
576  ,4.831e+00   ,-41.222  ,6  ,4.6154
